,ORF,gene_length,gene_distance_to_end_of_chromosome_near_end,gene_distance_to_end_of_chromosome_far_end
77,YJL077W-B,158,0.391952,0.3920826666666667
78,YJL127C-B,224,0.24196133333333333,0.242172
79,YJL133C-A,83,0.21272266666666667,0.21302133333333334
80,YJL136W-A,212,0.20811733333333332,0.208228
81,YIR021W-A,137,0.09381136363636366,0.0942931818181818
82,YIR018C-A,209,0.12341363636363634,0.12372499999999997
83,YIL002W-A,164,0.20339318181818178,0.20386818181818178
84,YIL046W-A,203,0.38983636363636365,0.39020909090909095
85,YIL134C-A,299,0.21936818181818182,0.21982954545454544
86,YHR214C-E,293,0.015180357142857148,0.01571428571428568
87,YHR214C-D,299,0.016176785714285713,0.016700000000000048
88,YHR213W-B,233,0.03375178571428572,0.03428571428571425
89,YHR213W-A,203,0.03431785714285718,0.03473392857142854
90,YHR212W-A,149,0.037598214285714304,0.03796071428571424
91,YHR175W-A,161,0.18980892857142861,0.190075
92,YHR086W-A,170,0.49929642857142853,0.4995839285714285
93,YHR050W-A,89,0.3740517857142857,0.37435535714285717
94,YHR022C-A,215,0.27001785714285714,0.2701767857142857
95,YHR007C-A,83,0.21883035714285715,0.21921428571428572
96,YHL015W-A,134,0.13338571428571427,0.13353392857142857
97,YHL048C-A,200,0.010110714285714285,0.01035
98,YGR240C-A,113,0.10570458715596331,0.10588807339449546
99,YGR204C-A,86,0.16589082568807334,0.16599449541284406
100,YGR174W-A,278,0.22316880733944955,0.2232477064220183
101,YGR169C-A,161,0.23241284403669726,0.23266788990825693
102,YGR146C-A,215,0.27941100917431194,0.2795587155963303
103,YGR121W-A,221,0.326943119266055,0.32714036697247706
104,YGR035W-A,110,0.4882660550458715,0.48846880733944953
105,YGL006W-A,86,0.4453467889908257,0.44544770642201836
106,YGL007C-A,182,0.4430697247706422,0.443148623853211
107,YGL041C-B,140,0.38413669724770644,0.38430366972477065
108,YGL188C-A,263,0.13654128440366972,0.1366697247706422
109,YFR032C-B,191,0.17051481481481479,0.1714888888888889
110,YFL041W-A,299,0.1804962962962963,0.1812037037037037
111,YER188C-A,164,0.01741034482758619,0.017925862068965515
112,YER175W-A,164,0.06757068965517243,0.06785344827586204
113,YER078W-A,200,0.45033448275862065,0.45061724137931036
114,YDR524C-B,89,0.026281045751634036,0.026411764705882357
115,YDR524W-C,200,0.026481045751634014,0.026539215686274487
116,YDR246W-A,152,0.37560196078431374,0.37573267973856206
117,YDR194W-A,203,0.4456078431372549,0.4457071895424837
118,YDR182W-A,149,0.457940522875817,0.4580732026143791
119,YDR169C-A,122,0.4805751633986928,0.4806725490196079
120,YDR003W-A,242,0.29724117647058823,0.2973209150326797
121,YDL160C-A,191,0.11069738562091504,0.11085555555555555
122,YCR108C,227,0.01192187499999997,0.012518750000000023
123,YCR075W-A,266,0.22125312500000005,0.22196249999999995
124,YCR024C-B,221,0.49105937499999996,0.491890625
125,YBR298C-A,119,0.005864197530864201,0.006137037037037052
126,YBR296C-A,104,0.012054320987654354,0.012201234567901231
127,YBR221W-A,164,0.17699135802469135,0.1771197530864198
128,YBR200W-A,104,0.23068888888888894,0.2308913580246914
129,YBR196C-B,149,0.2412037037037037,0.24133209876543205
130,YBR196C-A,194,0.24176790123456793,0.24195185185185186
131,YBR182C-A,440,0.26475308641975304,0.26499259259259256
132,YBR111W-A,161,0.4289222222222222,0.4294654320987654
133,YBR072C-A,239,0.47266049382716047,0.47285925925925926
134,YBL008W-A,179,0.25853333333333334,0.2588283950617284
135,YBL039W-B,98,0.1770320987654321,0.1772530864197531
136,YBL071C-B,119,0.1104395061728395,0.11056049382716049
137,YBL100W-C,80,0.03509506172839506,0.035241975308641975
138,YAR035C-A,92,0.16343043478260866,0.16377826086956526
139,YAL037C-A,290,0.3192478260869565,0.3196478260869565
140,YAL063C-A,227,0.09737826086956522,0.0986391304347826
141,YAL067W-A,257,0.010782608695652174,0.011769565217391304
142,YER180C-A,344,0.049798275862068975,0.05024137931034478
143,YLR161W,344,0.4527759259259259,0.45309444444444447
144,YLR159W,344,0.44939444444444443,0.449712962962963
145,YLR156W,218,0.4371425925925926,0.43746111111111113
146,YDR320C-A,203,0.2754934640522876,0.2756359477124183
147,YPR036W-A,206,0.3198421052631579,0.3200557894736842
148,YPL096C-A,374,0.3858168421052632,0.3860336842105263
149,YLR154W-C,209,0.4210157407407407,0.42136203703703706
150,YLR154W-C,1988,0.4183212962962963,0.4214648148148148
151,YKL138C-A,2390,0.2758328358208955,0.27614477611940297
152,YFR048W,248,0.08103333333333329,0.0883962962962963
153,YFL023W,284,0.33697777777777776,0.34582962962962965
154,YBL071W-A,1316,0.11108148148148148,0.11138765432098766
155,YBR233W-A,5313,0.15400493827160489,0.15435555555555558
156,YOR343W-A,1322,0.108356880733945,0.10956422018348622
157,YOR343W-B,5268,0.10468990825688074,0.10956422018348622
158,YDR210C-C,887,0.42227189542483656,0.42313594771241825
159,YDR210C-D,635,0.42227189542483656,0.42571503267973854
160,YFR047C,1502,0.09202592592592596,0.09531111111111112
161,YFL010C,1493,0.4263037037037037,0.42865555555555557
162,YFR021W,2144,0.2729555555555555,0.2785185185185185
163,YFL027C,206,0.29784074074074074,0.30337037037037035
164,YFL047W,1473,0.1497074074074074,0.15764814814814815
165,YML058W-A,470,0.17256521739130434,0.1727891304347826
166,YFR024C-A,538,0.24658888888888886,0.2520444444444444
167,YER074W-A,455,0.4687603448275862,0.46957068965517246
168,YDR381C-A,1022,0.19029934640522872,0.1906509803921569
169,YFR057W,1457,0.0018407407407406984,0.0035259259259259323
170,YFR055W,824,0.01772962962962965,0.021514814814814764
171,YFR053C,1640,0.05542222222222226,0.060818518518518494
172,YFR052W,800,0.06179259259259262,0.06484444444444448
173,YFR051C,371,0.06744444444444442,0.07351851851851854
174,YFR050C,1085,0.07461851851851853,0.07758148148148147
175,YFR049W,857,0.07821851851851847,0.07959259259259255
176,YFR046C,1445,0.0957555555555556,0.09977407407407413
177,YFR045W,713,0.10005185185185184,0.10322592592592594
178,YFR044C,602,0.10583703703703706,0.11118888888888889
179,YFR043C,887,0.11180000000000001,0.11444074074074073
180,YFR042W,3008,0.11464074074074071,0.1168703703703704
181,YFR041C,1532,0.11762222222222218,0.12090740740740735
182,YFR040W,2561,0.12134444444444448,0.13248518518518515
183,YFR039C,1673,0.1350703703703704,0.14074444444444445
184,YFR038W,374,0.14100740740740736,0.15049259259259262
185,YFR037C,344,0.15121111111111107,0.15740740740740744
186,YFR036W,938,0.15805925925925923,0.1594444444444445
187,YFR035C,443,0.1612851851851852,0.1625592592592593
188,YFR034C,179,0.16316296296296295,0.16663703703703703
189,YFR033C,869,0.16756666666666664,0.16920740740740736
190,YFR032C-A,911,0.1725,0.17316296296296296
191,YFR032C,3512,0.1742703703703704,0.17748888888888892
192,YFR031C-A,3107,0.1799777777777778,0.18335185185185188
193,YFR031C,2036,0.18483703703703702,0.1978444444444445
194,YFR030W,1655,0.19849259259259255,0.20999999999999996
195,YFR029W,845,0.21125555555555553,0.21879629629629627
196,YFR028C,509,0.22201481481481478,0.22814444444444448
197,YFR027W,1007,0.22857407407407404,0.23170370370370375
198,YFR026C,1835,0.23612962962962958,0.2380148148148148
199,YFR025C,2201,0.2417111111111111,0.24544074074074074
200,YFR023W,6836,0.25297407407407413,0.2597703703703703
201,YFR022W,1091,0.2628814814814815,0.27103333333333335
202,YFR019W,587,0.2913851851851852,0.3167037037037037
203,YFR018C,3701,0.31774074074074077,0.32178148148148145
204,YFR017C,2126,0.32278148148148145,0.32495555555555555
205,YFR016C,1340,0.3306111111111111,0.34431851851851847
206,YFR015C,2363,0.3467296296296296,0.35460370370370375
207,YFR014C,608,0.35604074074074077,0.3610037037037037
208,YFR013W,512,0.36193703703703706,0.37068888888888885
209,YFR012W,1499,0.37596666666666667,0.3782185185185185
210,YFR011C,2258,0.3805518518518518,0.3824481481481481
211,YFR010W,665,0.3831148148148148,0.3886666666666667
212,YFR009W,1061,0.3898518518518519,0.3982148148148148
213,YFR008W,1607,0.4029851851851852,0.4054481481481481
214,YFR007W,1346,0.4060962962962963,0.4100259259259259
215,YFR006W,920,0.41575555555555554,0.4217074074074074
216,YFR005C,467,0.42271111111111115,0.42769629629629624
217,YFR004W,2519,0.4284888888888889,0.43189629629629633
218,YFR003C,614,0.4328925925925926,0.43462222222222224
219,YFR002W,1328,0.43507407407407406,0.44440370370370375
220,YFR001W,1820,0.4454851851851852,0.4477592592592593
221,YFL001W,5313,0.45017037037037033,0.4550888888888889
222,YFL002C,2636,0.4558185185185185,0.4625592592592592
223,YFL002W-A,2486,0.46847407407407404,0.48815185185185184
224,YFL003C,647,0.4920296296296296,0.5017925925925926
225,YFL004W,6431,0.4881666666666667,0.4973740740740741
226,YFL005W,3677,0.4827,0.4850962962962963
227,YFL007W,284,0.4573111111111111,0.48112962962962963
228,YFL008W,1640,0.4423111111111111,0.45592962962962963
229,YFL010W-A,446,0.42586666666666667,0.42691851851851853
230,YFL011W,2078,0.41607037037037037,0.42214444444444443
231,YFL012W,329,0.40978148148148147,0.4114333333333333
232,YFL013C,1535,0.39942962962962963,0.40712592592592595
233,YFL014W,479,0.3972222222222222,0.39844074074074076
234,YFL016C,233,0.38775925925925925,0.39344444444444443
235,YFL017C,1499,0.3851,0.3868740740740741
236,YFL017W-A,368,0.38404814814814814,0.3849111111111111
237,YFL018C,1532,0.37637777777777776,0.3819296296296296
238,YFL020C,1511,0.3675,0.36886296296296295
239,YFL021W,2498,0.3554222222222222,0.3610962962962963
240,YFL022C,3089,0.3462851851851852,0.35188148148148146
241,YFL024C,1295,0.32535185185185184,0.3346037037037037
242,YFL025C,869,0.3116407407407407,0.32308148148148147
243,YFL026W,1106,0.3058444444444444,0.3106407407407407
244,YFL028C,1157,0.29385925925925926,0.2970777777777778
245,YFL029C,968,0.28908518518518517,0.2931814814814815
246,YFL030W,5312,0.28455185185185183,0.28883703703703706
247,YFL031W,689,0.2784333333333333,0.2820185185185185
248,YFL033C,977,0.2559740740740741,0.27564814814814814
249,YFL034C-A,4055,0.23793333333333333,0.2404851851851852
250,YFL034C-B,1373,0.2333888888888889,0.23700740740740742
251,YFL036W,620,0.2177074074074074,0.23272592592592592
252,YFL037W,1435,0.20864814814814814,0.21373333333333333
253,YFL038C,1622,0.20505555555555555,0.20735185185185184
254,YFL039C,1868,0.19725925925925927,0.20257407407407407
255,YFL040W,2024,0.19018518518518518,0.19619259259259259
256,YFL041W,905,0.1819962962962963,0.1889148148148148
257,YFL042C,764,0.16933333333333334,0.17682962962962964
258,YFL044C,623,0.1653888888888889,0.16874074074074075
259,YFL045C,1337,0.1615851851851852,0.16441481481481482
260,YFL046W,1871,0.15857407407407406,0.1608814814814815
261,YFL048C,2576,0.14386296296296297,0.14881481481481482
262,YFL049W,1397,0.1363074074074074,0.14323703703703702
263,YFL050C,1775,0.12322962962962963,0.13277037037037037
264,YFL052W,1940,0.10456296296296297,0.10973703703703704
265,YFL053W,1676,0.08675185185185186,0.09332592592592592
266,YFL054C,638,0.0772111111111111,0.0843962962962963
267,YFL055W,458,0.06297777777777777,0.06918518518518518
268,YFL056C,1022,0.05478888888888889,0.05715185185185185
269,YFL058W,896,0.04788518518518518,0.05167037037037037
270,YFL059W,668,0.042085185185185184,0.0454037037037037
271,YFL060C,677,0.03815185185185185,0.040625925925925926
272,YFL061W,1139,0.03535185185185185,0.03785925925925926
273,YFL062W,524,0.0238,0.02801851851851852
274,YFL064C,308,0.012303703703703704,0.014244444444444445
275,YFL065C,1178,0.011222222222222222,0.012362962962962963
276,YFL066C,527,0.005322222222222222,0.009685185185185186
277,YFL067W,482,0.003096296296296296,0.005048148148148148
278,YFL068W,2339,0.0001962962962962963,0.0019814814814814816
279,YFL009W,3221,0.43014444444444444,0.4388074074074074
280,YFL034W,2657,0.2425,0.2544296296296296
281,YOR058C,4328,0.3978807339449541,0.40031834862385324
282,YJR137C,2204,0.08906533333333333,0.09483600000000003
283,YIL078W,2105,0.48294545454545457,0.4879545454545455
284,YGL145W,482,0.2112366972477064,0.21316788990825689
285,YFL051C,456,0.11132592592592593,0.1131111111111111
286,YBR255C-A,242,0.102383950617284,0.10294691358024688
287,YBR058C-A,1334,0.4399037037037037,0.44020246913580247
288,YIL071C,272,0.4772931818181818,0.480325
289,YOL086W-A,272,0.1460302752293578,0.14627981651376146
290,YOL159C-A,218,0.013974311926605504,0.014223853211009174
291,YNL162W-A,110,0.42350128205128207,0.42378076923076924
292,YML007C-A,257,0.27517608695652174,0.27529565217391305
293,YLR363W-A,263,0.20952129629629634,0.2097592592592593
294,YLR099W-A,299,0.3160425925925926,0.3162861111111111
295,YKL018C-A,119,0.39772835820895525,0.3981746268656716
296,YKL106C-A,119,0.3534194029850746,0.35359701492537315
297,YJL052C-A,257,0.4504013333333333,0.45056
298,YJL062W-A,191,0.42218666666666665,0.4225293333333333
299,YGR271C-A,233,0.04770917431192656,0.047884403669724795
300,YGL258W-A,86,0.008405504587155964,0.008619266055045871
301,YFR012W-A,239,0.3729555555555556,0.3732740740740741
302,YDR379C-A,218,0.1937849673202614,0.19394117647058828
303,YDR079C-A,131,0.3945032679738562,0.3946457516339869
304,YDL159W-A,254,0.11253790849673202,0.1126235294117647
305,YCL001W-B,284,0.355525,0.35631875
306,YBL029C-A,128,0.20307530864197532,0.20342592592592593
307,YBL108C-A,969,0.00938888888888889,0.009546913580246914
308,YER014C-A,206,0.3167758620689655,0.31844655172413794
309,YDL085C-A,332,0.1976888888888889,0.1978235294117647
310,YAL044W-A,377,0.2500826086956522,0.25152608695652173
311,YCL021W-A,581,0.2613125,0.262490625
312,YCL026C-B,293,0.229390625,0.23120625
313,YCL057C-A,3674,0.0751,0.076015625
314,YOR396W,296,-0.0007899082568807447,0.002580733944954172
315,YNR034W-A,254,0.11171923076923074,0.11209871794871795
316,YMR122W-A,113,0.4439478260869565,0.4442239130434783
317,YER053C-A,257,0.44988275862068966,0.45007758620689653
318,YBR085C-A,1322,0.48252098765432094,0.4828382716049383
319,YPR158C-C,5268,0.098681052631579,0.10007263157894741
320,YPR158C-D,1322,0.098681052631579,0.10422631578947372
321,YPR158W-A,5271,0.10944526315789471,0.11083684210526312
322,YPR158W-B,1322,0.10528842105263159,0.11083684210526312
323,YPR137C-A,5268,0.14708947368421055,0.14848105263157896
324,YPR137C-B,1322,0.14708947368421055,0.15263473684210527
325,YPL257W-A,5268,0.059734736842105264,0.06112631578947368
326,YPL257W-B,1316,0.059734736842105264,0.06528
327,YOR192C-A,5313,0.3488688073394496,0.3500761467889908
328,YOR192C-B,1322,0.3488688073394496,0.35374311926605506
329,YOR142W-A,5268,0.4528119266055046,0.4540247706422018
330,YOR142W-B,1322,0.449191743119266,0.4540247706422018
331,YOL103W-A,5268,0.10825688073394496,0.10946972477064221
332,YOL103W-B,1322,0.10825688073394496,0.11308990825688073
333,YNL054W-A,1322,0.3323346153846154,0.3340294871794872
334,YNL284C-A,5268,0.12937179487179487,0.13106666666666666
335,YNL284C-B,1322,0.12431282051282051,0.13106666666666666
336,YML045W-A,1316,0.20050108695652175,0.20193804347826086
337,YLR410W-A,5313,0.12703981481481486,0.12825833333333336
338,YLR410W-B,1322,0.12333888888888889,0.12825833333333336
339,YLR256W-A,1322,0.3958879629629629,0.397112037037037
340,YLR227W-A,5268,0.44929444444444444,0.45051851851851854
341,YLR227W-B,1322,0.4456407407407408,0.45051851851851854
342,YLR157C-A,5268,0.4447037037037037,0.44592777777777776
343,YLR157C-B,263,0.44105,0.44592777777777776
344,YJR135W-A,1322,0.0971333333333333,0.09748400000000002
345,YGR161C-C,5268,0.2449357798165137,0.246148623853211
346,YGR161C-D,1316,0.2449357798165137,0.2497688073394495
347,YGR161W-A,5313,0.25407431192660546,0.2552816513761468
348,YGR161W-B,872,0.2504073394495413,0.2552816513761468
349,YGR109W-A,1322,0.3500128440366973,0.3508128440366972
350,YGR038C-A,5268,0.4793844036697248,0.480597247706422
351,YGR038C-B,1322,0.4793844036697248,0.4842174311926606
352,YGR027W-A,5268,0.49179908256880733,0.4930119266055046
353,YGR027W-B,1316,0.49179908256880733,0.49663211009174313
354,YFL002W-B,1322,0.4832777777777778,0.48815185185185184
355,YER159C-A,1322,0.1411741379310345,0.14345344827586204
356,YER137C-A,224,0.22582758620689658,0.22810689655172411
357,YEL059C-A,1322,0.07310344827586207,0.07348965517241379
358,YDR365W-A,5268,0.21025424836601303,0.21111830065359483
359,YDR365W-B,1322,0.20767516339869285,0.21111830065359483
360,YDR316W-A,5268,0.28275620915032684,0.2836202614379085
361,YDR316W-B,1322,0.28017712418300655,0.2836202614379085
362,YDR261C-C,4815,0.3514084967320261,0.3522725490196078
363,YDR261C-D,1316,0.3514084967320261,0.3545555555555555
364,YDR261W-A,5313,0.3576640522875817,0.358524183006536
365,YDR261W-B,1316,0.3550516339869281,0.358524183006536
366,YDR210W-A,5313,0.42913398692810456,0.42999411764705886
367,YDR210W-B,1322,0.42652156862745094,0.42999411764705886
368,YDR098C-A,5268,0.4247065359477124,0.42557058823529414
369,YDR098C-B,1316,0.42212745098039217,0.42557058823529414
370,YDR034C-C,5313,0.33858627450980394,0.3394464052287582
371,YDR034C-D,122,0.3359738562091503,0.3394464052287582
372,YCR024C-A,380,0.490428125,0.490809375
373,YAL064C-A,176,0.058104347826086956,0.05975652173913044
374,YHR072W-A,1241,0.43154642857142855,0.43186071428571426
375,YHL009W-A,5409,0.15340178571428573,0.15561785714285714
376,YHL009W-B,1436,0.15340178571428573,0.16306071428571428
377,YHR214C-C,395,0.01902499999999996,0.021589285714285755
378,YHR132W-A,414,0.3384785714285714,0.33918392857142854
379,YBL059C-A,3098,0.13595925925925925,0.13647037037037038
380,YPR204W,308,0.0024242105263158065,0.005685263157894749
381,YPR203W,864,0.006122105263157929,0.006446315789473633
382,YPR202W,1214,0.0064294736842105404,0.0073389473684210005
383,YPR201W,392,0.009334736842105285,0.010612631578947318
384,YPR200C,884,0.010876842105263185,0.011289473684210516
385,YPR199C,1631,0.011549473684210554,0.012480000000000047
386,YPR198W,1412,0.01509368421052637,0.016810526315789498
387,YPR196W,2633,0.01812210526315794,0.01960842105263161
388,YPR194C,470,0.02428105263157898,0.027052631578947328
389,YPR193C,917,0.028026315789473677,0.028521052631579003
390,YPR192W,1106,0.02866000000000002,0.02962526315789471
391,YPR191W,1964,0.031070526315789437,0.032234736842105316
392,YPR190C,4298,0.03259263157894732,0.034660000000000024
393,YPR189W,491,0.034781052631578935,0.03930526315789473
394,YPR188C,543,0.03949999999999998,0.04001684210526313
395,YPR187W,1289,0.0402147368421053,0.04078631578947367
396,YPR186C,2216,0.04103368421052633,0.042390526315789434
397,YPR185W,4610,0.04270526315789469,0.045037894736842055
398,YPR184W,803,0.04563157894736847,0.0504842105263158
399,YPR183W,260,0.05099578947368422,0.0518410526315789
400,YPR182W,2306,0.05215789473684207,0.052431578947368385
401,YPR181C,1043,0.05298631578947366,0.05541368421052628
402,YPR180W,1967,0.0557894736842105,0.056887368421052686
403,YPR179C,1397,0.05709473684210531,0.05916526315789472
404,YPR178W,977,0.05923684210526314,0.06070736842105262
405,YPR176C,2069,0.060974736842105304,0.06200315789473687
406,YPR175W,665,0.06206421052631583,0.06424210526315788
407,YPR174C,1313,0.06452210526315794,0.06522210526315786
408,YPR173C,602,0.06543894736842104,0.06682105263157889
409,YPR172W,1730,0.06695368421052628,0.06758736842105262
410,YPR171W,1478,0.0678378947368421,0.06965894736842104
411,YPR169W,473,0.07351157894736837,0.07506736842105266
412,YPR168W,785,0.07521578947368424,0.07571368421052627
413,YPR167C,347,0.07618105263157893,0.0770073684210526
414,YPR166C,629,0.07723684210526316,0.07760210526315792
415,YPR165W,4223,0.07790210526315788,0.07856421052631579
416,YPR164W,1310,0.07902947368421054,0.08347473684210527
417,YPR163C,1589,0.08426210526315792,0.08564105263157895
418,YPR162C,1973,0.08599999999999997,0.08767263157894734
419,YPR161C,2708,0.08798105263157896,0.09005789473684211
420,YPR160W,2162,0.09051578947368422,0.09336631578947363
421,YPR159W,758,0.09500947368421053,0.09728526315789476
422,YPR158W,1403,0.1115621052631579,0.11236000000000002
423,YPR157W,1868,0.1129842105263158,0.11446105263157891
424,YPR156C,1850,0.11602842105263156,0.11799473684210526
425,YPR155C,647,0.11851684210526314,0.12046421052631584
426,YPR154W,434,0.12083368421052632,0.12151473684210523
427,YPR153W,1397,0.12185157894736842,0.12230842105263162
428,YPR152C,620,0.12268000000000001,0.12415052631578949
429,YPR151C,521,0.12455684210526319,0.12520947368421054
430,YPR149W,1307,0.12585789473684206,0.1264063157894737
431,YPR148C,914,0.12827789473684215,0.12965368421052637
432,YPR147C,1718,0.12994210526315786,0.13090421052631573
433,YPR145W,1658,0.13227999999999995,0.13408842105263152
434,YPR144C,752,0.13534842105263156,0.13709368421052637
435,YPR143W,2189,0.13782000000000005,0.13861157894736842
436,YPR141C,1145,0.1390326315789474,0.1413368421052632
437,YPR140W,902,0.14154526315789473,0.14275052631578944
438,YPR139C,1469,0.1431010526315789,0.14405052631578952
439,YPR138C,1721,0.14479052631578948,0.1463368421052632
440,YPR137W,2783,0.1536042105263158,0.15541578947368417
441,YPR135W,806,0.1557757894736842,0.15870526315789468
442,YPR134W,152,0.15910210526315793,0.15995052631578943
443,YPR133W-A,1232,0.16031052631578946,0.1604705263157895
444,YPR133C,802,0.16083578947368427,0.16213263157894742
445,YPR132W,587,0.16235473684210522,0.163198947368421
446,YPR131C,1049,0.1636905263157895,0.16430842105263155
447,YPR129W,986,0.16449263157894733,0.16559684210526315
448,YPR128C,1037,0.16610526315789476,0.16714315789473688
449,YPR127W,1364,0.1672463157894737,0.16833789473684213
450,YPR125W,1220,0.16913578947368424,0.1705715789473684
451,YPR124W,3626,0.17113263157894731,0.1724168421052632
452,YPR122W,1718,0.17298210526315794,0.17679894736842106
453,YPR121W,1307,0.1786347368421053,0.18044315789473686
454,YPR120C,1475,0.18402105263157897,0.1853968421052632
455,YPR119W,1235,0.18618315789473683,0.1877357894736842
456,YPR118W,7469,0.19054210526315785,0.19184210526315792
457,YPR117W,833,0.19211368421052633,0.19997578947368422
458,YPR116W,3251,0.2005484210526316,0.20142526315789477
459,YPR115W,947,0.2019726315789474,0.2053947368421053
460,YPR114W,662,0.2060568421052632,0.20705368421052628
461,YPR113W,2663,0.20745578947368426,0.20815263157894737
462,YPR112C,1694,0.20850842105263157,0.2113115789473684
463,YPR111W,1007,0.2115810526315789,0.21336421052631582
464,YPR110C,884,0.21386000000000005,0.21492
465,YPR109W,1289,0.21518842105263158,0.21611894736842108
466,YPR108W,626,0.21711473684210525,0.21847157894736846
467,YPR107C,1331,0.21888210526315788,0.21954105263157897
468,YPR106W,2585,0.21958947368421056,0.22099052631578953
469,YPR105C,2810,0.22150842105263158,0.22422947368421053
470,YPR104C,863,0.22480947368421056,0.2277673684210526
471,YPR103W,524,0.22819999999999996,0.22910842105263163
472,YPR102C,527,0.22974105263157896,0.23029263157894742
473,YPR101W,422,0.23050842105263158,0.23106315789473686
474,YPR100W,581,0.2313568421052632,0.2318010526315789
475,YPR098C,3221,0.23207789473684215,0.23268947368421056
