ORF,FOP,instability index
YCR027C,0.41,39.92
YCR028C,0.47,37.27
YCR030C,0.52,55.55
YCR031C,0.92,43.1
YCR032W,0.42,39.11
YCR033W,0.42,58.53
YCR034W,0.58,30.93
YCR035C,0.49,53.23
YCR036W,0.53,25.93
YCR037C,0.52,39.78
YCR038C,0.47,46.27
YCR039C,0.41,43.01
YCR040W,0.43,31.64
YCR041W,0.44,26.95
YCR042C,0.45,41.62
YCR043C,0.46,26.69
YCR044C,0.5,42.21
YCR045C,0.5,40.79
YCR046C,0.53,61.27
YCR047C,0.42,53.25
YCR048W,0.49,46.51
YCR049C,0.55,55.71
YCR050C,0.42,33.2
YCR051W,0.54,42.11
YCR052W,0.47,43.36
YCR053W,0.71,31.6
YCR054C,0.47,38.42
YCR057C,0.5,35.53
YCR059C,0.55,56.28
YCR060W,0.43,33.47
YCR061W,0.51,41.14
YCR063W,0.51,30.86
YCR064C,0.4,36.54
YCR065W,0.47,56.66
YCR066W,0.45,48.62
YCR067C,0.47,47.93
YCR068W,0.48,45.95
YCR069W,0.52,31.24
YCR071C,0.45,46.0
YCR072C,0.51,24.26
YCR073C,0.46,37.27
YCR075C,0.39,23.13
YCR076C,0.38,52.09
YCR077C,0.55,54.51
YCR081W,0.47,36.19
YCR082W,0.51,24.26
YCR083W,0.47,31.12
YCR084C,0.56,45.69
YCR085W,0.39,25.83
YCR086W,0.4,47.14
YCR087W,0.34,37.56
YCR088W,0.59,61.56
YCR089W,0.49,48.58
YCR090C,0.44,37.68
YCR091W,0.44,56.98
YCR092C,0.41,40.99
YCR093W,0.5,42.47
YCR094W,0.43,39.0
YCR095C,0.39,38.93
YCR096C,0.39,39.77
YCR097W,0.46,63.28
YCR098C,0.55,26.44
YCR099C,0.47,64.44
YCR100C,0.42,32.27
YCR101C,0.39,43.89
YCR102C,0.58,33.68
YCR104W,0.87,24.36
YCR105W,0.55,32.89
YCR106W,0.42,50.94
YCR107W,0.49,46.72
YCR073W-A,0.49,34.28
YEL001C,0.49,35.82
YEL002C,0.5,35.93
YEL003W,0.51,37.38
YEL004W,0.4,22.55
YEL005C,0.41,45.46
YEL006W,0.43,26.79
YEL007W,0.46,45.64
YEL008W,0.44,52.23
YEL009C,0.58,43.8
YEL010W,0.34,44.21
YEL011W,0.49,25.48
YEL012W,0.38,49.01
YEL013W,0.51,44.78
YEL014C,0.4,61.42
YEL015W,0.48,47.65
YEL016C,0.43,38.36
YEL017W,0.48,37.82
YEL018W,0.47,26.52
YEL019C,0.47,49.81
YEL020C,0.47,36.12
YEL021W,0.54,12.38
YEL022W,0.47,45.06
YEL023C,0.42,42.59
YEL024W,0.64,32.0
YEL025C,0.43,37.91
YEL026W,0.83,46.8
YEL027W,0.85,22.54
YEL028W,0.4,31.18
YEL029C,0.45,30.31
YEL030W,0.56,33.82
YEL031W,0.6,35.67
YEL032W,0.55,45.98
YEL033W,0.29,35.43
YEL034W,0.91,29.22
YEL035C,0.41,49.0
YEL036C,0.53,53.04
YEL037C,0.55,47.49
YEL038W,0.49,46.12
YEL039C,0.51,34.19
YEL040W,0.58,36.96
YEL041W,0.41,32.96
YEL042W,0.57,39.05
YEL043W,0.48,53.86
YEL044W,0.45,55.96
YEL045C,0.45,51.36
YEL046C,0.72,27.29
YEL047C,0.64,34.44
YEL048C,0.45,20.66
YEL049W,0.87,18.09
YEL050C,0.54,52.0
YEL051W,0.66,36.83
YEL052W,0.46,33.15
YEL053C,0.46,37.4
YEL054C,0.83,33.36
YEL055C,0.46,34.07
YEL056W,0.46,54.16
YEL057C,0.49,48.25
YEL058W,0.54,33.12
YEL059W,0.41,45.99
YEL060C,0.67,32.1
YEL061C,0.45,47.25
YEL062W,0.45,48.2
YEL063C,0.59,30.9
YEL064C,0.45,26.85
YEL065W,0.56,36.35
YEL066W,0.5,44.3
YEL067C,0.42,67.24
YEL068C,0.42,42.11
YEL069C,0.57,36.32
YEL070W,0.65,29.67
YEL071W,0.56,41.51
YEL072W,0.39,26.09
YEL073C,0.39,23.84
YEL074W,0.43,49.26
YEL075C,0.49,38.8
YEL076C,0.45,49.9
YER001W,0.46,38.57
YER002W,0.49,58.06
YER003C,0.6,44.37
YER004W,0.49,33.3
YER005W,0.42,45.16
YER006W,0.55,46.02
YER007W,0.45,40.68
YER008C,0.48,52.97
YER009W,0.66,32.79
YER010C,0.45,39.1
YER011W,0.85,59.98
YER012W,0.53,37.03
YER013W,0.44,48.09
YER014W,0.46,27.85
YER015W,0.49,36.53
YER016W,0.4,36.88
YER017C,0.49,36.13
YER018C,0.42,57.19
YER019W,0.54,43.42
YER020W,0.46,49.97
YER021W,0.5,42.69
YER022W,0.45,50.28
YER023W,0.59,25.87
YER024W,0.47,44.14
YER025W,0.67,45.59
YER026C,0.52,34.37
YER027C,0.43,43.76
YER028C,0.42,61.13
YER029C,0.37,47.48
YER030W,0.56,71.23
YER031C,0.5,25.33
YER032W,0.44,65.48
YER033C,0.42,54.48
YER034W,0.37,42.13
YER035W,0.41,34.53
YER036C,0.69,41.45
YER037W,0.46,43.29
YER038C,0.42,43.45
YER039C,0.49,23.85
YER040W,0.43,54.72
YER041W,0.44,55.98
YER042W,0.46,40.42
YER043C,0.84,35.56
YER044C,0.72,32.67
YER045C,0.5,62.78
YER046W,0.44,42.97
YER047C,0.45,52.39
YER048C,0.51,37.37
YER049W,0.58,43.0
YER050C,0.47,37.57
YER051W,0.41,35.45
YER052C,0.6,34.01
YER053C,0.49,36.3
YER054C,0.42,42.53
YER055C,0.55,24.48
YER056C,0.57,30.09
YER057C,0.67,29.03
YER058W,0.4,47.38
YER059W,0.4,44.9
YER060W,0.5,26.66
YER061C,0.44,33.86
YER062C,0.66,23.38
YER063W,0.57,65.46
YER064C,0.45,55.37
YER065C,0.61,34.29
YER066W,0.46,27.34
YER067W,0.5,39.91
YER068W,0.47,43.74
YER069W,0.55,31.45
YER070W,0.65,41.99
YER071C,0.44,52.71
YER072W,0.51,29.79
YER073W,0.57,24.36
YER074W,0.95,17.98
YER075C,0.44,49.53
YER076C,0.5,40.31
YER077C,0.43,44.66
YER078C,0.49,39.09
YER079W,0.47,39.57
YER080W,0.53,39.38
YER081W,0.66,43.21
YER082C,0.49,40.3
YER083C,0.46,43.2
YER084W,0.39,63.78
YER085C,0.42,29.75
YER086W,0.66,36.9
YER087W,0.42,39.98
YER088C,0.54,60.08
YER089C,0.51,40.19
YER090W,0.55,39.95
YER091C,0.84,33.46
YER092W,0.37,38.35
YER093C,0.42,42.92
YER094C,0.55,34.64
YER095W,0.55,37.17
YER096W,0.46,54.13
YER097W,0.36,37.25
YER098W,0.42,46.88
YER099C,0.46,29.56
YER100W,0.48,39.02
YER101C,0.45,23.97
YER102W,0.9,52.24
YER103W,0.54,33.43
YER104W,0.48,78.62
YER105C,0.44,39.11
YER106W,0.44,64.85
YER107C,0.4,43.59
YER109C,,
YER110C,0.68,40.02
YER111C,0.47,53.26
YER112W,0.57,43.37
YER113C,0.41,35.55
YER114C,0.46,53.86
YER115C,0.43,59.68
YER116C,0.45,52.02
YER117W,0.88,31.88
YER118C,0.49,36.79
YER119C,0.5,41.72
YER120W,0.6,56.94
YER121W,0.47,56.6
YER122C,0.47,29.49
YER123W,0.48,51.23
YER124C,0.44,33.81
YER125W,0.53,39.89
YER126C,0.67,46.67
YER127W,0.5,42.62
YER128W,0.49,34.56
YER129W,0.4,52.49
YER130C,0.48,52.61
YER131W,0.9,55.89
YER132C,0.42,55.87
YER133W,0.53,47.26
YER134C,0.45,17.1
YER135C,0.43,40.69
YER136W,0.56,40.73
YER137C,0.42,27.68
YER138C,0.47,48.37
YER139C,0.41,41.02
YER140W,0.41,50.19
YER141W,0.56,38.71
YER142C,0.43,38.7
YER143W,0.47,37.31
YER144C,0.45,47.52
YER145C,0.62,39.81
YER146W,0.43,48.79
YER147C,0.4,40.25
YER148W,0.53,35.81
YER149C,0.44,45.13
YER150W,0.58,34.02
YER151C,0.51,48.22
YER152C,0.45,41.21
YER153C,0.35,61.96
YER154W,0.55,40.11
YER155C,0.45,46.36
YER156C,0.54,38.43
YER157W,0.51,37.79
YER158C,0.49,66.27
YER159C,0.41,40.42
YER160C,0.45,45.81
YER161C,0.41,67.37
YER162C,0.45,48.75
YER163C,0.44,28.37
YER164W,0.49,44.74
YER165W,0.78,41.92
YER166W,0.5,38.9
YER167W,0.47,51.49
YER168C,0.45,41.23
YER169W,0.43,52.71
YER170W,0.39,34.21
YER171W,0.47,45.02
YER172C,0.44,43.57
YER173W,0.4,50.26
YER174C,0.46,45.78
YER175C,0.48,42.07
YER176W,0.48,38.34
YER177W,0.72,57.84
YER178W,0.65,38.77
YER179W,0.49,31.95
YER180C,0.43,52.43
YER181C,0.33,53.4
YER182W,0.46,38.46
YER183C,0.43,52.68
YER184C,0.45,41.34
YER185W,0.42,36.44
YER186C,0.37,53.49
YER187W,0.39,32.07
YER188W,0.46,42.17
YER189W,0.5,38.34
YER190W,0.44,39.6
YHL001W,0.88,20.09
YHL002W,0.44,60.68
YHL003C,0.48,39.77
YHL004W,0.55,53.4
YHL005C,0.35,56.14
YHL006C,0.36,51.63
YHL007C,0.48,48.65
YHL008C,0.43,48.18
YHL009C,0.46,54.91
YHL010C,0.43,35.02
YHL011C,0.58,32.62
YHL012W,0.41,35.26
YHL013C,0.44,56.58
YHL014C,0.45,37.67
YHL015W,0.94,42.64
YHL016C,0.5,31.68
YHL017W,0.48,34.77
YHL018W,0.49,24.54
YHL019C,0.44,38.68
YHL020C,0.43,70.94
YHL021C,0.5,46.26
YHL022C,0.5,31.09
YHL023C,0.45,54.72
YHL024W,0.49,54.16
YHL025W,0.44,48.75
YHL026C,0.53,48.59
YHL027W,0.5,67.49
YHL028W,0.43,43.77
YHL029C,0.48,50.71
YHL030W,0.47,43.6
YHL031C,0.52,55.01
YHL032C,0.54,45.21
YHL033C,0.95,33.82
YHL034C,0.7,41.92
YHL035C,0.45,41.18
YHL036W,0.45,26.16
YHL037C,0.43,41.13
YHL038C,0.49,40.6
YHL039W,0.46,35.12
YHL040C,0.61,33.52
YHL041W,0.36,51.46
YHL042W,0.51,40.07
YHL043W,0.52,57.25
YHL044W,0.45,36.09
YHL045W,0.43,45.39
YHL046C,0.89,18.53
YHL047C,0.48,33.53
YHL048W,0.44,40.15
YHL049C,0.46,31.22
YHL050C,0.44,39.5
YHR001W,0.47,47.35
YHR002W,0.38,42.87
YHR003C,0.46,39.01
YHR004C,0.39,47.55
YHR005C,0.48,44.57
YHR006W,0.44,60.21
YHR007C,0.77,38.59
YHR008C,0.63,27.45
YHR009C,0.51,50.07
YHR010W,0.89,19.81
YHR011W,0.41,37.88
YHR012W,0.43,23.57
YHR013C,0.51,48.44
YHR014W,0.4,55.84
YHR015W,0.42,39.4
YHR016C,0.47,42.15
YHR017W,0.42,42.36
YHR018C,0.58,36.72
YHR019C,0.75,40.22
YHR020W,0.7,43.99
YHR021C,0.83,44.9
YHR022C,0.47,40.03
YHR023W,0.47,45.58
YHR024C,0.5,39.56
YHR025W,0.66,43.94
YHR026W,0.65,12.33
YHR027C,0.53,34.55
YHR028C,0.45,32.6
YHR029C,0.5,26.64
YHR030C,0.45,45.95
YHR031C,0.48,39.53
YHR032W,0.5,41.25
YHR033W,0.47,33.14
YHR034C,0.4,55.91
