ORF,gravy score,aliphatic index
YAR019C,-0.11,94.5
YAR020C,0.56,107.69
YAR023C,0.06,84.73
YAR027W,0.09,99.65
YAR028W,0.01,85.36
YAR029W,-0.78,44.48
YAR031W,-0.33,69.4
YAR033W,-0.21,89.9
YAR035W,-0.39,75.45
YAR042W,-0.76,70.87
YAR047C,0.59,97.65
YAR050W,-0.16,62.89
YAR053W,0.8,115.52
YAR060C,-0.6,75.53
YAR061W,,
YAR064W,-0.3,55.88
YAR068W,0.34,124.77
YAR069C,0.96,130.62
YAR070C,0.32,96.51
YAR071W,-0.39,67.7
YAR073W,-0.1,87.05
YBL001C,-0.2,90.7
YBL002W,-0.62,65.95
YBL003C,-0.32,97.6
YBL004W,-0.17,96.85
YBL005W,-0.31,83.43
YBL006C,-0.44,75.11
YBL007C,-0.65,58.72
YBL008W,-0.38,86.9
YBL009W,-0.55,77.94
YBL010C,-0.86,73.85
YBL011W,-0.3,82.72
YBL012C,0.06,93.22
YBL013W,-0.24,88.01
YBL014C,-0.49,84.29
YBL015W,-0.36,81.34
YBL016W,-0.29,86.59
YBL017C,-0.48,66.82
YBL018C,-0.47,76.9
YBL019W,-0.49,78.55
YBL020W,0.41,108.42
YBL021C,-0.7,71.97
YBL022C,-0.58,77.85
YBL023C,-0.64,78.13
YBL024W,-0.58,73.2
YBL025W,-0.31,92.17
YBL026W,-0.29,89.64
YBL027W,-0.95,73.71
YBL028C,-1.37,52.37
YBL029W,-0.84,65.91
YBL030C,0.09,84.76
YBL031W,-1.0,57.31
YBL032W,-0.4,88.23
YBL033C,-0.6,78.66
YBL034C,-0.44,83.11
YBL035C,-0.44,80.04
YBL036C,-0.45,85.11
YBL037W,-0.09,100.78
YBL038W,-0.62,71.31
YBL039C,-0.24,88.54
YBL040C,0.41,106.65
YBL041W,-0.44,73.07
YBL042C,0.19,90.87
YBL043W,-0.89,57.05
YBL044W,-0.75,60.68
YBL045C,-0.23,89.28
YBL046W,-1.04,57.43
YBL047C,-0.68,68.84
YBL048W,1.14,118.69
YBL049W,-0.56,69.57
YBL050W,-0.51,73.61
YBL051C,-0.8,69.4
YBL052C,-0.85,67.85
YBL053W,0.58,86.53
YBL054W,-0.94,60.26
YBL055C,-0.34,78.69
YBL056W,-0.4,77.76
YBL057C,-0.26,79.49
YBL058W,-0.96,53.12
YBL059W,-0.31,74.46
YBL060W,-0.51,76.39
YBL061C,-0.68,66.06
YBL062W,0.84,95.0
YBL063W,-0.63,84.68
YBL064C,-0.29,79.91
YBL065W,0.11,105.84
YBL066C,-0.52,73.29
YBL067C,-0.71,67.35
YBL068W,-0.06,100.87
YBL069W,-0.3,83.66
YBL070C,0.92,119.37
YBL071C,0.08,95.25
YBL072C,-0.83,58.63
YBL073W,0.33,91.58
YBL074C,-0.64,66.05
YBL075C,-0.49,75.03
YBL076C,-0.34,82.45
YBL077W,0.2,92.87
YBL078C,-0.48,70.74
YBL079W,-0.19,89.27
YBL080C,-0.4,89.16
YBL081W,-0.96,47.02
YBL082C,0.43,106.84
YBL083C,0.06,99.42
YBL084C,-0.43,80.01
YBL085W,-0.89,56.72
YBL086C,-0.85,63.07
YBL087C,-0.08,83.89
YBL088C,-0.16,92.72
YBL089W,0.57,114.17
YBL090W,-0.75,72.87
YBL091C,-0.72,69.3
YBL092W,-0.68,73.96
YBL093C,-1.0,52.08
YBL094C,0.33,102.47
YBL095W,-0.12,92.9
YBL096C,0.42,115.99
YBL097W,-0.89,65.62
YBL098W,-0.28,84.11
YBL099W,-0.08,100.5
YBL100C,0.57,106.44
YBL101C,-0.65,69.78
YBL102W,0.29,86.39
YBL103C,-0.82,65.64
YBL104C,-0.56,73.47
YBL105C,-0.68,69.59
YBL106C,-0.08,91.0
YBL107C,-0.98,61.24
YBL108W,0.24,82.75
YBR001C,-0.54,71.52
YBR002C,-0.32,85.04
YBR003W,-0.25,94.8
YBR004C,0.43,99.53
YBR005W,-0.57,67.37
YBR006W,-0.05,84.56
YBR007C,-0.91,57.39
YBR008C,0.41,95.34
YBR009C,-0.5,85.96
YBR010W,-0.68,76.01
YBR011C,-0.52,77.44
YBR012C,-0.6,65.46
YBR013C,0.03,94.64
YBR014C,-0.44,77.21
YBR015C,-0.42,75.53
YBR016W,-1.47,22.43
YBR017C,-0.03,97.64
YBR018C,-0.54,73.31
YBR019C,-0.34,79.4
YBR020W,-0.09,82.93
YBR021W,0.24,84.2
YBR022W,-0.33,81.62
YBR023C,-0.27,79.35
YBR024W,-0.58,69.92
YBR025C,-0.29,91.03
YBR026C,-0.39,82.81
YBR027C,0.55,114.78
YBR028C,-0.57,77.66
YBR029C,0.39,99.41
YBR030W,-0.48,81.21
YBR031W,-0.31,81.66
YBR032W,-0.08,96.32
YBR033W,-0.39,78.91
YBR034C,-0.38,79.43
YBR035C,-0.87,61.68
YBR036C,0.38,105.28
YBR037C,-0.36,76.04
YBR038W,-0.26,76.99
YBR039W,-0.31,85.96
YBR040W,0.42,108.93
YBR041W,-0.17,83.79
YBR042C,-0.01,102.34
YBR043C,-0.06,90.35
YBR044C,-0.31,91.87
YBR045C,-1.0,56.5
YBR046C,-0.15,92.15
YBR047W,-0.42,85.15
YBR048W,-0.46,68.73
YBR049C,-1.2,59.11
YBR050C,-0.76,67.56
YBR051W,0.36,97.61
YBR052C,-0.15,81.24
YBR053C,-0.27,83.0
YBR054W,0.15,90.0
YBR055C,-0.54,83.79
YBR056W,-0.62,68.16
YBR057C,-0.87,60.58
YBR058C,-0.52,75.7
YBR059C,-0.83,62.42
YBR060C,-0.71,69.71
YBR061C,-0.39,77.74
YBR062C,-0.74,66.2
YBR063C,-0.38,82.95
YBR064W,0.76,125.92
YBR065C,-0.41,88.43
YBR066C,-0.87,55.7
YBR067C,0.26,86.35
YBR068C,0.25,90.81
YBR069C,0.25,95.17
YBR070C,0.31,109.55
YBR071W,-0.87,58.89
YBR072W,-0.69,71.16
YBR073W,-0.42,82.36
YBR074W,-0.18,88.22
YBR076W,-0.63,64.56
YBR077C,-0.24,89.04
YBR078W,0.12,94.14
YBR079C,-0.67,77.32
YBR080C,-0.24,89.08
YBR081C,-0.91,70.76
YBR082C,-0.31,78.29
YBR083W,-0.8,66.88
YBR084W,-0.16,93.33
YBR085W,0.09,83.69
YBR086C,-0.21,83.9
YBR087W,-0.06,107.05
YBR088C,0.0,101.66
YBR089W,0.05,95.09
YBR090C,-0.33,72.42
YBR091C,-0.41,63.64
YBR092C,-0.37,66.87
YBR093C,-0.41,65.64
YBR094W,-0.42,81.52
YBR095C,-0.63,88.59
YBR096W,-0.13,75.65
YBR097W,-0.12,95.46
YBR098W,-0.73,73.86
YBR099C,0.32,82.34
YBR101C,-0.24,103.37
YBR102C,-0.63,80.96
YBR103W,-0.29,89.86
YBR104W,-0.11,84.71
YBR105C,-0.66,62.53
YBR106W,-0.17,80.98
YBR107C,-0.17,90.5
YBR108W,-1.16,46.58
YBR109C,-0.29,88.98
YBR110W,0.04,101.65
YBR111C,-0.43,84.06
YBR112C,-0.84,62.46
YBR113W,0.3,100.65
YBR114W,-0.6,76.08
YBR115C,-0.26,86.22
YBR116C,0.2,88.75
YBR117C,-0.35,76.01
YBR118W,-0.3,79.3
YBR119W,-0.67,86.39
YBR120C,-0.68,79.43
YBR121C,-0.44,78.57
YBR122C,-0.93,65.84
YBR123C,-0.55,76.72
YBR124W,0.5,102.42
YBR125C,-0.39,77.3
YBR126C,-0.22,85.71
YBR127C,-0.38,84.09
YBR128C,-0.28,93.94
YBR129C,-0.71,67.89
YBR130C,-0.91,74.58
YBR131W,-0.46,79.52
YBR132C,0.23,93.91
YBR133C,-0.37,87.42
YBR134W,-0.32,61.7
YBR135W,-0.99,59.21
YBR136W,-0.22,93.44
YBR137W,-0.38,74.75
YBR138C,-0.87,75.86
YBR139W,-0.33,73.28
YBR140C,-0.12,93.26
YBR141C,-0.47,87.37
YBR142W,-0.58,87.35
YBR143C,-0.34,84.24
YBR144C,-0.1,68.18
YBR145W,0.04,88.45
YBR146W,-0.55,77.85
YBR147W,0.48,117.67
YBR148W,-1.0,67.34
YBR149W,-0.29,92.02
YBR150C,-0.6,73.38
YBR151W,-0.41,81.94
YBR152W,-1.54,46.15
YBR153W,-0.17,92.75
YBR154C,-0.5,72.8
YBR155W,-0.72,71.95
YBR156C,-1.01,64.64
YBR157C,-0.96,51.19
YBR158W,-0.37,87.02
YBR159W,0.03,98.98
YBR160W,-0.24,95.17
YBR161W,-0.44,74.15
YBR162C,-0.25,63.0
YBR163W,-0.49,80.37
YBR164C,-0.09,101.0
YBR165W,-0.61,70.51
YBR166C,-0.15,89.2
YBR167C,-0.54,81.59
YBR168W,-0.1,97.09
YBR169C,-0.5,78.23
YBR170C,-0.5,73.5
YBR171W,-0.4,84.82
YBR172C,-0.75,63.4
YBR173C,-0.69,72.46
YBR174C,-0.04,74.5
YBR175W,0.07,92.61
YBR176W,-0.04,84.33
YBR177C,-0.42,73.11
YBR178W,0.03,83.71
YBR179C,-0.47,90.56
YBR180W,0.26,94.94
YBR181C,-0.77,76.14
YBR182C,-0.63,65.26
YBR183W,0.32,104.4
YBR184W,-0.63,74.25
YBR185C,-0.2,92.16
YBR186W,-0.21,95.72
YBR187W,0.54,104.06
YBR188C,-0.99,75.63
YBR189W,-0.65,79.19
YBR190W,-0.46,52.85
YBR191W,-0.61,69.71
YBR192W,-0.27,79.44
YBR193C,-0.58,74.62
YBR194W,-1.33,60.57
YBR195C,-0.5,73.43
YBR196C,-0.23,78.83
YBR197C,-0.99,62.08
YBR198C,-0.65,70.09
YBR199W,-0.62,66.4
YBR200W,-0.57,73.65
YBR201W,0.41,107.4
YBR202W,-0.33,87.02
YBR203W,-0.69,70.13
YBR204C,-0.25,86.45
YBR205W,-0.43,65.94
YBR206W,-0.16,81.62
YBR207W,0.14,97.34
YBR208C,-0.18,86.88
YBR209W,-0.33,78.98
YBR210W,0.69,117.85
YBR211C,-0.74,87.31
YBR212W,-0.7,61.22
YBR213W,-0.42,88.41
YBR214W,-0.28,83.83
YBR215W,-0.96,62.47
YBR216C,-0.21,93.0
YBR217W,-0.62,71.8
YBR218C,-0.21,88.49
YBR219C,0.35,95.58
YBR220C,0.32,100.92
YBR221C,-0.07,83.69
YBR222C,-0.17,78.96
YBR223C,-0.43,69.9
YBR224W,0.51,111.51
YBR225W,-0.67,69.21
YBR226C,0.17,94.77
YBR227C,-0.34,94.2
YBR228W,-0.53,70.65
YBR229C,-0.34,76.6
YBR230C,-0.22,82.37
YBR231C,-1.12,64.92
YBR232C,0.69,118.12
YBR233W,-0.33,90.76
YBR234C,-0.22,78.81
YBR235W,0.11,96.25
YBR236C,-0.68,65.9
YBR237W,-0.64,78.44
YBR238C,-0.55,71.25
YBR239C,-0.46,75.96
YBR240C,-0.37,76.96
YBR241C,0.37,99.42
YBR242W,-0.48,80.29
YBR243C,0.59,114.65
YBR244W,-0.44,71.07
YBR245C,-0.74,76.4
YBR246W,-0.2,83.29
YBR247C,-0.63,74.13
YBR248C,-0.34,80.68
YBR249C,-0.27,86.87
YBR250W,-0.34,82.68
YBR251W,-0.55,73.43
YBR252W,-0.01,89.37
YBR253W,-0.33,93.45
YBR254C,-0.41,73.85
YBR255W,-0.79,72.59
YBR256C,-0.09,96.56
YBR257W,-0.61,85.19
YBR258C,-1.07,66.41
YBR259W,-0.31,86.41
YBR260C,-0.47,81.19
YBR261C,-0.33,81.45
YBR262C,-0.63,69.99
YBR263W,-0.27,80.69
YBR264C,-0.11,93.03
YBR265W,-0.05,90.49
YBR266C,0.7,90.48
YBR267W,-0.98,61.05
YBR268W,-0.54,88.03
YBR269C,-0.9,57.16
YBR270C,-0.49,76.0
YBR271W,-0.29,100.14
YBR272C,-0.13,100.67
YBR273C,-0.87,69.67
YBR274W,-0.26,90.52
YBR275C,-0.44,90.04
YBR276C,-0.22,88.55
YBR277C,0.61,92.37
YBR278W,-0.76,77.97
YBR279W,-1.08,69.27
YBR280C,-0.47,68.02
YBR281C,-0.22,92.42
YBR282W,-0.7,61.91
YBR283C,0.62,123.47
YBR284W,-0.34,79.92
YBR285W,-0.9,63.66
YBR286W,-0.42,74.69
YBR287W,0.44,115.86
YBR288C,-0.32,88.46
YBR289W,-0.91,69.88
YBR290W,-0.55,75.8
YBR291C,0.05,89.64
YBR292C,0.11,94.57
YBR293W,0.65,120.94
YBR294W,0.03,89.94
YBR295W,-0.03,91.72
YBR296C,0.37,102.48
YBR297W,-0.19,84.09
YBR298C,0.1,85.68
YBR299W,-0.67,59.6
YBR300C,0.18,81.61
YBR301W,0.25,92.99
YBR302C,0.04,88.95
YCL001W,0.06,90.9
YCL002C,0.65,117.83
YCL004W,-0.33,85.7
YCL005W,0.1,93.22
YCL007C,-0.81,78.38
YCL008C,-0.31,88.82
YCL009C,-0.18,92.16
YCL010C,-0.7,71.77
YCL011C,-0.96,51.98
YCL014W,-0.65,74.76
YCL016C,-0.34,86.55
YCL017C,-0.25,81.46
YCL018W,-0.04,101.08
YCL019W,-0.7,73.65
YCL020W,-0.81,62.03
YCL022C,0.54,87.15
YCL023C,0.47,92.3
YCL024W,-0.63,84.82
YCL025C,0.23,93.05
YCL027W,-0.6,71.31
YCL028W,-1.14,31.19
YCL029C,-1.04,61.62
YCL030C,-0.19,92.28
YCL031C,-0.64,71.68
YCL032W,-0.66,75.45
YCL033C,-0.65,62.43
YCL034W,-0.68,76.06
YCL035C,-0.25,102.89
YCL036W,-0.49,73.46
YCL037C,-1.02,51.09
YCL038C,0.5,107.45
YCL039W,-0.34,82.12
YCL040W,-0.22,88.62
YCL041C,0.58,93.69
YCL042W,-0.75,56.37
YCL043C,-0.25,80.22
YCL044C,-0.44,81.4
YCL045C,-0.23,92.11
YCL046W,-0.4,64.11
YCL047C,-0.2,88.79
YCL048W,-0.12,103.0
YCL049C,-0.45,66.24
YCL050C,-0.45,75.52
YCL051W,-0.87,57.41
YCL052C,-0.46,80.96
YCL054W,-0.89,68.7
YCL055W,-0.55,76.46
YCL056C,0.27,120.33
YCL057W,-0.48,77.3
YCL058C,1.15,119.61
YCL059C,-0.76,71.14
YCL061C,-1.08,67.68
YCL063W,-0.81,66.4
YCL064C,-0.05,91.2
YCL065W,0.9,125.93
YCL066W,-0.52,64.37
YCL067C,-0.67,87.53
YCL068C,-0.09,105.22
YCL069W,0.61,111.28
YCL073C,0.31,94.63
YCL074W,-0.22,86.49
YCL075W,-0.14,78.29
YCL076W,-0.52,73.55
YCL026C-A,-0.17,84.09
YCR001W,0.34,83.09
YCR002C,-0.38,88.59
YCR003W,-0.92,72.74
YCR004C,-0.23,75.04
YCR005C,-0.33,85.85
YCR006C,-0.16,83.05
YCR007C,-0.1,82.13
YCR008W,-0.59,62.3
YCR009C,-0.55,82.43
YCR010C,0.35,92.24
YCR011C,0.0,94.7
YCR012W,-0.11,94.38
YCR013C,0.13,81.67
YCR014C,-0.57,76.16
YCR015C,-0.41,81.61
YCR016W,-1.08,71.51
YCR017C,0.25,94.85
YCR018C,-1.23,51.82
YCR019W,-0.27,81.37
YCR020C,-0.34,74.0
YCR020C-A,0.4,126.23
YCR021C,0.36,94.51
YCR022C,-0.18,70.0
YCR023C,0.07,88.7
YCR024C,-0.39,76.99
YCR024C-A,1.03,142.99
YCR025C,-0.65,63.28
YCR026C,-0.53,71.02
YCR027C,-0.16,93.42
YCR028C,0.18,87.64
YCR030C,-0.62,72.17
YCR031C,-0.37,72.37
YCR032W,-0.16,92.92
YCR033W,-1.0,58.54
YCR034W,0.36,100.97
YCR035C,-0.23,96.28
YCR036W,-0.24,89.11
YCR037C,0.09,97.65
YCR038C,-0.22,96.45
YCR039C,-0.67,87.53
YCR040W,-0.52,64.37
YCR041W,0.95,123.16
YCR042C,-0.42,83.39
YCR043C,-0.13,74.81
YCR044C,0.2,86.05
YCR045C,-0.33,78.67
YCR046C,-0.36,95.99
YCR047C,-0.54,74.22
YCR048W,0.04,75.35
YCR049C,-0.06,75.34
YCR050C,-0.04,95.98
YCR051W,-0.71,73.96
YCR052W,-0.74,78.12
YCR053W,-0.28,83.55
YCR054C,-0.2,94.08
YCR057C,-0.36,76.86
YCR059C,-0.29,75.14
YCR060W,-0.49,76.41
YCR061W,0.21,87.86
YCR063W,-0.85,63.5
YCR064C,0.44,88.9
YCR065W,-0.8,68.14
YCR066W,-0.76,65.63
YCR067C,-0.18,83.37
YCR068W,-0.31,69.87
YCR069W,-0.29,80.46
YCR071C,-0.33,82.92
YCR072C,-0.43,73.85
YCR073C,-0.3,85.04
YCR075C,0.34,96.24
YCR076C,-0.52,61.94
YCR077C,-0.5,79.08
YCR081W,-0.17,94.28
YCR082W,-0.51,90.65
YCR083W,-0.08,86.63
YCR084C,-0.63,71.3
YCR085W,0.73,109.41
YCR086W,-0.64,80.69
YCR087W,1.14,159.96
YCR088W,-1.04,55.46
YCR089W,-0.09,69.54
YCR090C,-0.33,72.09
YCR091W,-0.65,68.41
YCR092C,-0.34,90.11
YCR093W,-0.09,100.15
YCR094W,-0.42,77.02
YCR095C,-0.51,84.34
YCR096C,-0.91,73.27
YCR097W,-0.74,77.18
YCR098C,0.27,92.5
YCR099C,-0.61,66.97
YCR100C,-0.31,82.3
YCR101C,-0.13,88.1
YCR102C,-0.12,96.58
YCR104W,0.32,98.36
YCR105W,-0.06,90.37
YCR106W,-0.16,90.43
YCR107W,-0.35,78.42
YCR073W-A,-0.26,80.57
YEL001C,-0.02,83.23
YEL002C,-0.33,79.02
YEL003W,-0.81,79.99
YEL004W,0.38,103.47
YEL005C,-0.41,93.2
YEL006W,0.02,86.54
YEL007W,-0.85,54.19
YEL008W,0.35,91.51
YEL009C,-0.6,74.36
YEL010W,0.15,89.36
YEL011W,-0.41,71.0
YEL012W,-0.77,72.88
YEL013W,-0.12,102.95
YEL014C,0.33,91.92
YEL015W,-0.54,82.8
YEL016C,-0.35,79.54
YEL017W,-0.32,76.63
YEL018W,-0.54,94.23
YEL019C,-0.61,75.77
YEL020C,-0.06,97.97
YEL021W,-0.24,85.13
YEL022W,-0.23,96.76
YEL023C,-0.56,69.31
YEL024W,-0.09,81.82
YEL025C,-0.17,86.38
YEL026W,0.23,113.05
YEL027W,1.2,140.7
YEL028W,-0.11,78.75
YEL029C,-0.14,88.85
YEL030W,-0.32,89.17
YEL031W,0.01,93.56
YEL032W,-0.47,82.3
YEL033W,0.12,80.94
YEL034W,-0.38,71.24
YEL035C,-0.48,69.89
YEL036C,-0.75,66.12
YEL037C,-0.45,70.24
YEL038W,-0.3,86.44
YEL039C,-0.9,46.6
YEL040W,-0.35,60.73
YEL041W,-0.27,83.59
YEL042W,-0.21,84.44
YEL043W,-0.68,74.13
YEL044W,-0.83,62.97
YEL045C,0.59,80.7
YEL046C,-0.16,84.94
YEL047C,-0.14,94.21
YEL048C,0.07,108.45
YEL049W,0.23,91.5
YEL050C,-0.58,81.57
YEL051W,-0.62,76.98
YEL052W,-0.35,74.54
YEL053C,-0.21,90.6
YEL054C,-0.34,91.7
YEL055C,-0.29,95.03
YEL056W,-0.52,78.06
YEL057C,-0.38,84.13
YEL058W,-0.16,85.78
YEL059W,0.79,102.48
YEL060C,-0.66,69.35
YEL061C,-0.7,76.51
YEL062W,-0.35,78.95
YEL063C,0.33,92.41
YEL064C,0.39,104.06
YEL065W,0.48,105.02
YEL066W,-0.53,63.92
YEL067C,0.1,80.03
YEL068C,-0.59,65.08
YEL069C,0.35,94.83
YEL070W,-0.21,83.76
YEL071W,-0.26,84.65
YEL072W,-0.32,84.3
YEL073C,0.08,79.12
YEL074W,-0.65,61.61
YEL075C,-0.48,66.58
YEL076C,-0.31,83.77
YER001W,-0.57,69.96
YER002W,-1.24,62.94
YER003C,-0.49,74.04
YER004W,-0.12,93.16
YER005W,-0.44,71.26
YER006W,-0.58,82.02
YER007W,-0.37,90.46
YER008C,-0.69,77.47
YER009W,-0.39,77.49
YER010C,-0.06,97.69
YER011W,0.02,72.76
YER012W,-0.36,87.0
YER013W,-0.47,83.14
YER014W,-0.32,87.83
YER015W,-0.17,87.48
YER016W,-0.62,73.25
YER017C,-0.36,80.4
YER018C,-0.57,79.5
YER019W,-0.21,85.15
YER020W,-0.54,75.51
YER021W,-0.34,92.23
YER022W,-0.57,90.87
YER023W,0.11,95.3
YER024W,-0.51,77.28
YER025W,-0.23,94.85
YER026C,0.16,85.23
YER027C,-0.82,60.48
YER028C,-0.7,60.76
YER029C,-1.04,71.16
YER030W,-1.78,36.81
YER031C,-0.53,73.2
YER032W,-0.95,64.07
YER033C,-1.09,51.53
YER034W,-1.19,67.24
YER035W,-1.05,43.38
YER036C,-0.37,88.72
YER037W,-0.52,84.55
YER038C,-0.42,79.3
YER039C,0.67,111.7
YER040W,-0.81,56.35
YER041W,-0.58,75.34
YER042W,-0.68,62.26
YER043C,0.0,91.97
YER044C,0.33,84.4
YER045C,-0.74,64.83
YER046W,-0.49,78.14
YER047C,-0.74,70.15
YER048C,-0.84,60.59
YER049W,-0.62,75.32
YER050C,-0.74,70.26
YER051W,-0.54,77.6
YER052C,-0.1,94.16
YER053C,0.03,78.8
YER054C,-0.87,61.18
YER055C,0.1,104.07
YER056C,0.49,95.36
YER057C,0.18,95.81
YER058W,-0.9,59.78
YER059W,-0.71,68.73
YER060W,0.48,95.84
YER061C,-0.1,92.05
YER062C,-0.28,78.98
YER063W,-1.22,62.28
YER064C,-0.56,81.31
YER065C,-0.42,70.99
YER066W,-0.06,96.23
YER067W,-0.94,56.01
YER068W,-0.73,64.76
YER069W,-0.17,92.44
YER070W,-0.33,76.1
YER071C,-0.58,95.73
YER072W,0.39,103.21
YER073W,-0.13,83.54
YER074W,-0.7,68.62
YER075C,-0.49,79.14
YER076C,-0.22,66.65
YER077C,-0.38,90.57
YER078C,-0.4,80.24
YER079W,-1.1,51.73
YER080W,-0.58,79.29
YER081W,-0.05,97.65
YER082C,-0.72,72.49
YER083C,-0.06,97.59
YER084W,-0.16,66.82
YER085C,-0.52,90.61
YER086W,-0.17,90.86
YER087W,-0.51,77.34
YER088C,-0.82,54.36
YER089C,-0.4,77.13
YER090W,-0.34,86.05
YER091C,-0.28,84.92
YER092W,-0.65,90.63
YER093C,-0.37,86.8
YER094C,-0.01,87.93
YER095W,-0.22,81.36
YER096W,-0.41,73.88
YER097W,-0.15,90.91
YER098W,-0.9,60.4
YER099C,0.02,103.65
YER100W,-0.64,68.61
YER101C,-0.27,86.19
YER102W,-0.83,58.63
YER103W,-0.44,77.41
YER104W,-1.23,48.29
YER105C,-0.21,90.81
YER106W,-1.04,70.12
YER107C,-0.48,60.25
YER109C,,
YER110C,0.0,98.99
YER111C,-0.84,71.05
YER112W,-1.16,63.36
YER113C,0.1,91.87
YER114C,-0.87,57.28
YER115C,-0.45,72.43
YER116C,-0.89,61.96
YER117W,-0.08,83.89
YER118C,-0.41,72.06
YER119C,0.8,128.65
YER120W,-0.3,83.5
YER121W,-0.91,50.64
YER122C,-0.99,50.11
YER123W,-0.83,61.71
YER124C,-0.29,86.21
YER125W,-0.68,62.32
YER126C,-0.79,69.86
YER127W,-1.1,61.32
YER128W,-0.88,65.33
YER129W,-0.72,70.96
YER130C,-0.82,65.92
YER131W,-0.82,62.55
YER132C,-0.63,69.05
YER133W,-0.27,84.46
YER134C,-0.42,79.76
YER135C,-0.08,94.5
YER136W,-0.39,81.9
YER137C,-0.51,83.69
YER138C,-0.65,73.19
YER139C,-0.62,77.74
YER140W,-0.08,96.79
YER141W,0.08,95.46
YER142C,-0.41,79.05
YER143W,-0.25,91.74
YER144C,-0.38,79.9
YER145C,0.2,100.45
YER146W,-0.06,111.64
YER147C,-0.18,89.51
YER148W,-0.25,80.26
YER149C,-0.91,70.82
YER150W,0.28,84.05
YER151C,-0.79,63.56
YER152C,-0.28,79.3
YER153C,-0.14,94.53
YER154W,-0.12,88.41
YER155C,-0.47,79.58
YER156C,-0.35,77.71
YER157W,-0.39,89.53
YER158C,-0.91,50.9
YER159C,-0.5,76.71
YER160C,-0.64,73.76
YER161C,-1.48,47.42
YER162C,-0.72,69.08
YER163C,-0.47,83.36
YER164W,-0.84,69.21
YER165W,-0.68,62.59
YER166W,-0.3,80.01
YER167W,-0.89,51.19
YER168C,-0.35,90.23
YER169W,-0.69,68.78
YER170W,-0.37,97.72
YER171W,-0.32,85.58
YER172C,-0.32,88.63
YER173W,-0.62,77.31
YER174C,-0.35,79.22
YER175C,-0.64,63.03
YER176W,-0.73,71.77
YER177W,-0.66,70.95
YER178W,-0.3,70.87
YER179W,-0.3,86.82
YER180C,-0.86,71.37
YER181C,1.09,157.39
YER182W,-0.36,83.07
YER183C,-0.3,83.29
YER184C,-0.19,82.78
YER185W,0.73,108.5
YER186C,-0.33,70.44
YER187W,-0.69,51.78
YER188W,-0.47,48.31
YER189W,-0.48,67.61
YER190W,-0.38,75.49
YHL001W,-0.08,93.52
YHL002W,-0.73,73.95
YHL003C,0.12,86.72
YHL004W,-0.55,84.89
YHL005C,0.18,96.7
YHL006C,-0.13,95.89
YHL007C,-0.74,65.37
YHL008C,-0.2,89.62
YHL009C,-0.96,60.02
YHL010C,-0.72,71.73
YHL011C,0.03,105.44
YHL012W,-0.07,102.25
YHL013C,-1.04,67.14
YHL014C,-0.29,93.36
YHL015W,-0.65,87.56
YHL016C,0.43,100.21
YHL017W,0.12,92.17
YHL018W,-0.53,77.75
YHL019C,-0.55,80.79
YHL020C,-0.98,67.67
YHL021C,-0.5,73.42
YHL022C,-0.24,91.24
YHL023C,-0.76,69.5
YHL024W,-0.96,50.28
YHL025W,-0.79,62.47
YHL026C,0.09,89.85
YHL027W,-0.62,68.39
YHL028W,-0.34,61.09
