Gene,AA_cons_geometric_all,nt_cons_geometric_all,AA_cons_median_all,nt_cons_median_all,AA_cons_geometric_closest,nt_cons_geometric_closest,AA_cons_median_closest,nt_cons_median_closest,AA_cons_geometric_all_beg,nt_cons_geometric_all_beg,AA_cons_median_all_beg,nt_cons_median_all_beg,AA_cons_geometric_all_end,nt_cons_geometric_all_end,AA_cons_median_all_end,nt_cons_median_all_end,AA_cons_geometric_closest_beg,nt_cons_geometric_closest_beg,AA_cons_median_closest_beg,nt_cons_median_closest_beg,AA_cons_geometric_closest_end,nt_cons_geometric_closest_end,AA_cons_median_closest_end,nt_cons_median_closest_end
AJO98569.1,0.43303042757658367,0.5590761385287262,0.42500000000000004,0.5479999999999999,0.4120511174038704,0.541554144456406,0.414,0.516,0.5144735966007107,0.6070835876238033,0.5594999999999999,0.6,0.40947514081635605,0.5454790921214118,0.42000000000000004,0.5329999999999999,0.5144735966007107,0.6070835876238033,0.5594999999999999,0.6,0.40540934039951815,0.5352576337171401,0.419,0.517
AJO98570.1,0.8474322900920381,0.7623587202933644,0.9670000000000001,0.9329999999999999,0.7451894685908002,0.6969726930639926,0.905,0.778,0.7690326441807344,0.733044572736316,0.9329999999999999,0.833,0.8937615954284203,0.7815096705658627,0.9840000000000001,0.9670000000000001,0.665341776140106,0.6594295714205997,0.807,0.7230000000000001,0.797695315049958,0.7317843531380225,0.905,0.873
AJO98571.1,0.9195182906667536,0.9023882122979194,1.0,1.0,0.6056271604082257,0.6191177156197201,0.667,0.625,0.9114169349909174,0.896660485406236,1.0,1.0,0.9091176544660108,0.8861645351833665,0.9924999999999999,1.0,0.46850174736151357,0.5605822958299205,0.5,0.5655,0.5756517038102003,0.5865693670186511,0.6174999999999999,0.633
AJO98572.1,0.5158221127086097,0.6375894779924952,0.5,0.625,0.45924643734473874,0.5868709042848752,0.5,0.6,0.429558135838376,0.6054555169632273,0.429,0.6,0.5781039479959501,0.6774523024700467,0.5710000000000001,0.6905000000000001,0.37129534586147567,0.5519980239915392,0.375,0.5710000000000001,0.5328973752496959,0.6415057708614204,0.5,0.625
AJO98573.1,0.47297896178020166,0.581754185211175,0.48100000000000004,0.556,0.4280751156032384,0.5443885008177278,0.441,0.529,0.5467612116672134,0.6088805704240251,0.5905,0.593,0.4559978744879607,0.5927785437130905,0.40700000000000003,0.5575,0.4962783973037511,0.5694422077572534,0.48550000000000004,0.538,0.4219224663253843,0.5597752117025724,0.388,0.529
AJO98574.1,0.7898707940406354,0.7497793830403808,0.9259999999999999,0.8370000000000001,0.6506320621782152,,0.7685,,0.5796055610272371,0.6507650616126729,0.603,0.6515,0.4201100532396934,0.5757247099494877,0.3725,0.5379999999999999,0.5207118550984058,,0.537,,0.268512401771235,0.44161389463600215,0.25,0.43100000000000005
AJO98575.1,0.8146916915467334,0.7840076794374629,0.9059999999999999,0.867,0.5601526772541636,0.6100163143095034,0.5825,0.63,0.9130942135198971,0.8166639036555864,0.9675,0.9515,0.631265993135513,0.7080303012951751,0.6295,0.721,0.7509040320959011,0.6901551461643077,0.8265,0.761,0.3633733897174939,0.5022940532048652,0.354,0.524
AJO98576.1,0.5630491400157531,0.6422013770287607,0.593,0.63,0.29057929371081664,0.436237927001513,0.27,0.40399999999999997,0.6863723896459007,0.6790100003236925,0.7290000000000001,0.7180000000000001,0.7682578821704599,0.7416825438200353,0.889,0.815,0.4617451470791289,0.5264491725847533,0.479,0.5305,0.42269846461068683,0.5180620007998905,0.44499999999999995,0.519
AJO98577.1,0.7139510092754474,0.7224793079072016,0.847,0.768,0.4805004989093342,0.5626878512780573,0.47100000000000003,0.532,0.37863519210979535,0.5531962080482405,0.3585,0.5515000000000001,0.5834129963504185,0.6692930267802623,0.6525,0.6705,0.2220221587073286,0.40270399964278375,0.1975,0.39,0.38090492924666225,0.5275441083383032,0.387,0.508
AJO98578.1,0.6494891391592988,0.7006339506870923,0.72,0.742,0.36014432192532303,0.4993486195408153,0.34299999999999997,0.469,0.6343525279396199,0.7686525695054537,0.696,1.0,0.679693877400216,0.6988672197435281,0.7725,0.733,0.2416862631250675,0.41979589267096346,0.2135,0.405,0.46709910414582595,0.545470168533821,0.46399999999999997,0.5385
AJO98579.1,0.6953912335555952,0.7110051603531351,0.778,0.741,0.40588484903624844,0.5212197561481938,0.414,0.5,0.5987117620492198,0.6842310173685527,0.631,0.7080000000000001,0.8087844999468135,0.7475758593246355,0.889,0.819,0.30170622967656885,0.4528765554535635,0.3085,0.458,0.4936327712784421,0.5606516163889739,0.527,0.5355000000000001
AJO98580.1,0.5765668693294685,0.645577858369795,0.609,0.655,0.3697532194007176,0.48522971833051903,0.37,0.456,0.6236982391248603,0.657216085735957,0.6495,0.6625000000000001,0.7016961924475761,0.7184084630880632,0.8245,0.7695000000000001,0.41491424518977926,0.5042838841003594,0.4205,0.4665,0.41587449361703915,0.5392455650649114,0.4285,0.537
AJO98581.1,0.6736154088691018,0.7027133970381136,0.741,0.731,0.41712276682146515,0.5324459144956624,0.406,0.51,0.6331671147312686,0.6492429146195615,0.697,0.6890000000000001,0.7032763136501259,0.7301947160202338,0.769,0.7755000000000001,0.39744540025588054,0.4955539354106696,0.3735,0.48350000000000004,0.3582168226905158,0.5487626866458423,0.353,0.5285
AJO98582.1,0.5508635925645547,0.639200429218998,0.578,0.635,0.3258735648036179,0.473847404894097,0.309,0.44,0.46629115645379426,0.5933741485550666,0.423,0.5705,0.5185817011520503,0.6355090844877792,0.484,0.667,0.20797737698575336,0.37616811041737014,0.207,0.364,0.29068225708260037,0.46795469432275477,0.277,0.4345
AJO98583.1,0.6172091852201388,0.6689669047516272,0.684,0.6759999999999999,0.4073891910517312,0.5131375612394017,0.413,0.489,0.6074667308028714,0.6504417295697658,0.649,0.68,0.7230349673553931,0.7246834425247125,0.7825,0.8115000000000001,0.4005412965771197,0.48992832761165633,0.484,0.469,0.5526988045400781,0.6196903741826381,0.6485,0.623
AJO98584.1,0.7994958828815004,0.755648595027923,0.862,0.8490000000000001,0.6157706359933752,0.6244157973325044,0.7020000000000001,0.66,0.5080658201564442,0.6413919410854715,0.4605,0.625,0.6852548915012662,0.7097309382028928,0.7010000000000001,0.7545,0.3528715345797937,0.5128680642233214,0.2925,0.47850000000000004,0.48968598472479535,0.5610294898968547,0.5195000000000001,0.5705
AJO98585.1,0.6092429011447207,0.673327118014076,0.667,0.675,0.38090500408137523,0.5090880446773338,0.384,0.478,0.5129598788054246,0.6246433892489398,0.5475,0.6355,0.3700903978365298,0.5835354041047732,0.36200000000000004,0.5615,0.24313206845730326,0.4084615974198212,0.235,0.386,0.18212123616624992,0.4183501162317067,0.1805,0.41300000000000003
AJO98586.1,0.586180898735192,0.6607536358715903,0.63,0.669,0.42333387361003294,0.5321407074914405,0.444,0.519,0.6680318786388569,0.7088880226264159,0.6575,0.75,0.6948577968787176,0.7056279136336592,0.7325,0.762,0.46772551625947695,0.5479262916830787,0.4955,0.5780000000000001,0.4964124748286358,0.5606255354065883,0.503,0.537
AJO98587.1,0.5934328142224218,0.6776270312191446,0.6559999999999999,0.667,0.3921286635313622,0.5352636756234542,0.382,0.52,0.4772259682273469,0.6265716911449637,0.4585,0.6105,0.7187870541791421,0.7127528457268997,0.8254999999999999,0.75,0.24737855427166014,0.4293048669000902,0.22699999999999998,0.428,0.4938875762672841,0.5721165540550938,0.5329999999999999,0.5670000000000001
AJO98588.1,0.7932677183319427,0.7633034802476449,0.914,0.821,0.5444191496355165,0.5913704488483925,0.5435,0.5685,0.770783989299493,0.7410707500422076,0.875,0.779,0.7722963019463445,0.7645401269401617,0.9155,0.8534999999999999,0.5374719821134047,0.5877217257316657,0.5589999999999999,0.5535000000000001,0.538625769876285,0.5923461456834568,0.532,0.5735
AJO98589.1,0.5040921341306798,0.6157353560729366,0.519,0.593,0.38217803374961945,,0.364,,0.4063382020164782,0.5468719890548032,0.375,0.5435000000000001,0.6899495075478617,0.6994206781211801,0.7545,0.741,0.3112159362142186,0.47494882630078966,0.297,0.4575,0.5367548075721278,0.6152385976889103,0.536,0.6
AJO98590.1,0.6110794115047165,0.6679275059655615,0.667,0.667,0.3722070628271929,0.49085980438612214,0.371,0.46399999999999997,0.7066619522679324,0.7198508141496722,0.7364999999999999,0.774,0.5446027813937123,0.6376218110021393,0.505,0.637,0.5333203684469976,0.5930288174772105,0.5715000000000001,0.594,0.3492397975094859,0.4590672328575567,0.33299999999999996,0.4585
AJO98591.1,0.7329825970974333,0.7254621275590689,0.804,0.765,0.5176564726553845,0.5903366358325898,0.5660000000000001,0.585,0.6429284321675425,0.6782830066389142,0.728,0.688,0.8498102616414402,0.7727516986509226,0.96,0.827,0.34434190245830665,0.4878705393024003,0.3085,0.465,0.6604813206400971,0.6644836690303244,0.745,0.7195
AJO98592.1,0.8602502329984083,0.8673058794071652,1.0,1.0,0.8602502329984083,0.8673058794071652,1.0,1.0,0.7578582832551991,0.8235910172675731,1.0,1.0,0.9460576467255959,0.9075191553171609,1.0,1.0,0.7578582832551991,0.8235910172675731,1.0,1.0,0.9460576467255959,0.9075191553171609,1.0,1.0
AJO98593.1,0.6317503769146463,0.6780374770132508,0.677,0.703,0.5069175580555699,0.572301368990319,0.5489999999999999,0.568,0.5024704566435605,0.6293073742640711,0.508,0.6509999999999999,0.7061325689139759,0.6997851495011078,0.7125,0.753,0.3680382448663708,0.49692093981763574,0.3345,0.48750000000000004,0.5656853078403092,0.5895055617912843,0.565,0.5825
AJO98594.1,0.888597403265594,0.8353420184962111,1.0,0.9670000000000001,0.7296795754498445,0.7237658665401231,0.847,0.7879999999999999,0.9528751018459932,0.850180162286131,1.0,1.0,0.7889257131416219,0.8034481029317699,0.839,0.8405,0.771107407721082,0.7194920282137812,0.94,0.7645,0.6092938699718389,0.6668967903407563,0.6074999999999999,0.682
AJO98595.1,0.8684624023029652,0.8615045856510175,0.9329999999999999,0.9329999999999999,0.607299566525993,0.6618416577369637,0.64,0.6829999999999999,0.8160196730076954,0.8524927703537062,0.8975,0.929,0.9039190025795635,0.8839564343545196,0.9750000000000001,0.984,0.48624790387733824,0.5891843617890902,0.5375000000000001,0.581,0.709155162559826,0.7325994496033753,0.7675000000000001,0.7815
AJO98596.1,0.5953596036860271,0.6565187762013539,0.6425000000000001,0.672,0.4518398779182814,,0.479,,0.584366185820898,0.6130719065656292,0.6285000000000001,0.6194999999999999,0.5289500859251856,0.6518763291025819,0.5,0.6575,0.3482527322951405,0.45090175234260177,0.314,0.41300000000000003,0.35613474973100534,0.494324471898927,0.354,0.47050000000000003
AJO98597.1,0.3629316950170226,0.5277354060182833,0.35600000000000004,0.508,0.338354600546761,0.5051214197694092,0.32799999999999996,0.484,0.4147567221595243,0.541220947674016,0.41800000000000004,0.508,0.32431771654044433,0.5070065102083136,0.277,0.475,0.3892676919965023,0.5191571473427677,0.373,0.488,0.30287678239136173,0.48655831045577974,0.2585,0.444
AJO98598.1,0.40883538600900005,0.5646883652649525,0.36,0.542,0.3217549310448632,0.48323109843872564,0.28600000000000003,0.455,0.4050951311909126,0.5622140633997295,0.378,0.524,0.4197097598245404,0.5634998325089596,0.391,0.53,0.3180127570643151,0.4700060318237467,0.2905,0.4445,0.31799675935565036,0.4781082712255588,0.306,0.444
AJO98599.1,0.6818806895110961,0.7149811971347734,0.7609999999999999,0.763,0.47401507017538513,0.5600418307393117,0.494,0.545,0.6304721333580978,0.6891331341901047,0.6579999999999999,0.741,0.8087036197470214,0.7774589627886328,0.8805000000000001,0.8465,0.42235388808064167,0.5281735469266808,0.402,0.483,0.6219630226046914,0.614911242714856,0.6815,0.629
AJO98600.1,0.7421595208546234,0.7199303336979956,0.815,0.778,0.4410981700840968,0.5289977031119979,0.465,0.522,0.8252435817167942,0.7375870672916937,0.889,0.792,0.6923253808543975,0.7121200072685616,0.7665,0.7735000000000001,0.5016750772237227,0.5492371846985405,0.514,0.5445,0.3545316056479087,0.4994826895174568,0.35750000000000004,0.4825
AJO98601.1,0.71452876476715,0.7184742346902785,0.815,0.769,0.48408741533153304,0.5628635423507009,0.514,0.546,0.6033126215866581,0.6797828390684916,0.667,0.667,0.7816441812278035,0.7473784843820848,0.852,0.839,0.36652125138633107,0.5007905390585508,0.348,0.477,0.47696188149250923,0.5492256995353184,0.503,0.5469999999999999
AJO98602.1,0.5936101397721794,0.6556309155317477,0.6459999999999999,0.667,0.38265022669607834,0.5000244191612458,0.369,0.478,0.7296811298600367,0.6965538021192397,0.7705,0.7250000000000001,0.6920060454091378,0.7069164597262326,0.7995000000000001,0.7749999999999999,0.5482759097053027,0.5754427037397655,0.5640000000000001,0.591,0.4908144114367361,0.5686227747321047,0.495,0.5375000000000001
AJO98603.1,0.43342453860731467,0.5795728102668316,0.406,0.55,0.3863465002025036,0.5326247965397112,0.353,0.5,0.4950615707992534,0.6198010624733604,0.5,0.611,0.40254747437670196,0.5757175676473476,0.39949999999999997,0.5735000000000001,0.3947660829844546,0.5156927687326864,0.39,0.5,0.36375405056074844,0.543989305467456,0.34299999999999997,0.5225
AJO98604.1,0.7315753466246999,0.7114672631222861,0.852,0.754,0.5593135855533348,0.6104282886924374,0.604,0.6194999999999999,0.7784875139092737,0.7213387229375318,0.886,0.8079999999999999,0.7053216338312306,0.7138097429581164,0.879,0.755,0.5822845489711324,0.6234391466114173,0.6735,0.657,0.5312898756254208,0.6092344157207709,0.5780000000000001,0.6315
AJO98605.1,0.6786805721933935,0.6889759244687634,0.815,0.7040000000000001,0.5129400666477082,0.5865897936643422,0.5,0.565,0.5832739058045112,0.6420108126460307,0.54,0.625,0.5822738650528331,0.638395821658237,0.5825,0.63,0.4372473073611327,0.5261377181565212,0.385,0.49150000000000005,0.407890761662076,0.5289026491791026,0.39649999999999996,0.526
AJO98606.1,0.4918057806481877,0.6074510950279527,0.48100000000000004,0.587,0.4250554235364523,0.55049216972886,0.406,0.516,0.5661089009967909,0.6327411059298113,0.6345000000000001,0.636,0.44859172801675723,0.5823587043094217,0.429,0.5965,0.5101338613652578,0.5895569137492996,0.5695000000000001,0.6034999999999999,0.38211312945936965,0.5088175103025601,0.33299999999999996,0.5
AJO98607.1,0.32169145764583434,0.5328678358795503,0.292,0.5,0.2974867516572496,0.5012286022437651,0.261,0.48,0.25878368897451964,0.5034156480485141,0.25,0.478,0.3107040540808585,0.5279241071396474,0.293,0.521,0.2359738339942756,0.4618549276005281,0.23299999999999998,0.455,0.2770294929070347,0.4918582638367231,0.267,0.48
AJO98608.1,0.413609370242267,0.5803142732360478,0.4,0.5710000000000001,0.3694256871194355,0.5400345728771142,0.33299999999999996,0.5,0.42137403394665196,0.5827626814585581,0.41700000000000004,0.5710000000000001,0.4639376338635959,0.6141422619716224,0.42300000000000004,0.6,0.347329741648983,0.5304936657467414,0.33299999999999996,0.5,0.42686054702830906,0.584118300340448,0.41700000000000004,0.556
AJO98609.1,0.7398150007445312,0.7107246826927861,0.836,0.7659999999999999,0.6257185881138501,0.6302715145648953,0.7070000000000001,0.652,0.6589955801471542,0.6668466625912295,0.7324999999999999,0.7165000000000001,0.6516761830273123,0.6564319656938225,0.708,0.6659999999999999,0.5878866535140556,0.610454389504202,0.6910000000000001,0.65,0.47354642513902295,0.5537427643348206,0.525,0.5475
AJO98610.1,0.5927335576995688,0.6507672693617178,0.648,0.662,0.4105241252573482,0.5081973723179485,0.43200000000000005,0.49200000000000005,0.5276859018193089,0.5953347661852404,0.5495,0.5894999999999999,0.6054476154931111,0.6897392802609797,0.674,0.6915,0.3665738039250184,0.4708761024916719,0.3815,0.4505,0.4571412256103594,0.5607426911985298,0.43800000000000006,0.563
AJO98613.1,0.6512558252058939,0.6894326845465638,0.6970000000000001,0.706,0.3556006663558956,0.4903616869939701,0.33399999999999996,0.46299999999999997,0.542926160994194,0.6247284564534471,0.514,0.595,0.5880124432312492,0.6582130523392535,0.5565,0.6915,0.28495436716858624,0.4205958687339396,0.2595,0.3915,0.29246721468110914,0.46361583215881286,0.258,0.4415
AJP89534.1,0.593436402256328,0.651289503650338,0.6495,0.667,0.40259229635360005,0.5050985649688098,0.4315,0.475,0.5538591129888105,0.6277785342604996,0.6275,0.6385000000000001,0.5640868366330266,0.6422402099218741,0.635,0.641,0.34506175272644235,0.4690833721266212,0.32199999999999995,0.4405,0.38666045862374243,0.5093773597689376,0.43299999999999994,0.473
AJP89535.1,0.6361144900461725,0.6716142172182041,0.677,0.6945,0.434900582522515,0.518355774060555,0.4575,0.504,0.5992793428175703,0.6516410153015608,0.6085,0.6665,0.6508435954001922,0.7028741470328104,0.6799999999999999,0.706,0.42545954093125177,0.5133816892490147,0.46099999999999997,0.524,0.43139233160602336,0.534665827280488,0.4385,0.5415
