Absolute_Context_Score_Main_ATG,Numer_of_alt_ATG_5UTR,Numer_of_alt_ATG_ORF,Numer_of_alt_ATG_ORF_30codons,Numer_of_alt_ATG_ORF_200codons,Number_of_alt_ATG_tot,Max_ATG_Context_Score_ORF_30codons,Mean_ATG_Context_Score_ORF_30codons,Max_relative_ATG_Context_Score_ORF_30codons,Mean_relative_ATG_Context_Score_ORF_30codons
-7.9477,0,46,1,2,46,-16.8721,-16.8721,-8.9245,-8.9245
NaN,NaN,4,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,57,1,6,57,-15.6181,-15.6181,679.1956,679.1956
-12.1376,0,16,1,3,16,-15.872,-15.872,-3.7344,-3.7344
NaN,NaN,11,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-234.2967,0,58,1,5,58,-16.6053,-16.6053,217.6914,217.6914
-13.0491,0,45,2,4,45,-10.4847,-11.1763108650513,2.5643,1.87268913494866
-9.7412,1,21,1,2,22,-10.5184,-10.5184,-0.77724,-0.77724
NaN,NaN,7,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-8.5237,0,28,2,5,28,-14.5622,-14.5924288290054,-6.0385,-6.06872882900535
NaN,NaN,7,3,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,6,5,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,0,0,0,0,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-11.2086,0,7,3,0,7,-12.5432,-13.4124635819772,-1.3346,-2.2038792540342
-9.3202,2,5,0,0,7,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,10,6,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,38,1,6,38,-14.1144,-14.1144,450.4408,450.4408
-7.4484,4,39,2,4,43,-14.2318,-14.4900751138073,-6.7835,-7.04177511380733
-11.3497,0,67,2,3,67,-12.5386,-13.2214966890645,-1.189,-1.87189566920056
NaN,NaN,7,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-15.6804,0,5,0,0,5,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-14.8593,0,82,1,4,82,-10.8762,-10.8762,3.9831,3.9831
-13.8743,0,28,1,3,28,-14.5387,-14.5387,-0.66435,-0.66435
-14.9473,0,16,1,3,16,-13.3345,-13.3345,1.6128,1.6128
-694.8137,0,31,0,2,31,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,5,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-13.9146,0,43,1,3,43,-17.9101,-17.9101,-3.9955,-3.9955
-13.1787,0,42,1,6,42,-15.6704,-15.6704,-2.4917,-2.4917
-11.6555,0,21,0,2,21,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.0515,0,8,1,0,8,-14.0463,-14.0463,-4.9948,-4.9948
-464.5552,0,184,3,3,184,-10.2828,-11.376403811424,454.2725,453.178895689005
-13.0573,0,21,2,5,21,-14.132,-14.6086155482577,-1.0747,-1.55131554825769
-11.6161,0,11,0,0,11,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-10.2445,0,25,1,3,25,-13.9156,-14.5630373534909,450.6396,449.94645281944
-464.5552,0,9,1,0,9,-13.9156,-13.9156,450.6396,450.6396
-14.652,2,1,0,0,3,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-7.2552,0,10,0,2,10,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,4,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,15,0,4,15,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,3,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,62,5,9,62,-11.2529,-12.5248332812835,453.3023,452.030369374519
-8.8553,0,32,1,3,32,-10.6208,-10.6208,-1.7655,-1.7655
-10.8394,0,20,0,0,20,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,3,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,26,2,2,26,-15.1047,-15.609600052623,679.709,679.204117107092
-694.8137,0,118,2,2,118,-15.1047,-15.609600052623,679.709,679.204117107092
-464.5552,0,0,0,0,0,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-16.9482,0,71,0,2,71,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-15.4313,0,12,1,2,12,-16.2638,-16.2638,-0.83246,-0.83246
-14.8357,0,34,2,5,34,-14.151,-14.6108444219135,0.6847,0.224868063556436
-9.9298,0,92,2,5,92,-15.4038,-16.0213645906092,-5.474,-6.09156459060915
-13.6868,0,77,0,3,77,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-10.6713,0,73,4,6,73,-12.1911,-13.1812700893899,-1.5198,-2.50997008938989
-14.7206,0,8,2,0,8,-14.8442,-15.4085709456135,-0.12364,-0.688018195182066
NaN,NaN,1,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-234.2967,0,2,2,0,2,-12.9044,-13.5845420276671,221.3924,220.712257972333
NaN,NaN,8,5,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
NaN,NaN,1,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-464.5552,0,32,0,1,32,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-694.8137,0,7,3,0,7,-13.4004,-14.1823166835146,681.4134,680.631482590536
-694.8137,0,48,2,4,48,-15.1559,-15.8463845257972,679.6578,678.967315474203
NaN,NaN,7,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-10.8341,0,56,2,4,56,-13.4144,-13.9892250368173,-2.5802,-3.15503619534053
-16.6676,0,17,0,5,17,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-13.7075,0,23,1,2,23,-13.4403,-13.4403,0.26715,0.26715
-10.471,0,14,0,2,14,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-14.1945,0,14,2,4,14,-14.114,-14.292404063261,0.0804719999999999,-0.0979288444861238
-9.2947,0,32,1,3,32,-12.3906,-12.3906,-3.096,-3.096
-11.5121,0,33,0,2,33,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.5175,2,34,0,4,36,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.3503,0,2,0,0,2,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.247,0,0,0,0,0,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.339,0,14,1,2,14,-13.1759,-13.1759,-0.83694,-0.83694
NaN,NaN,10,1,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,28,1,2,28,-15.4327,-15.4327,679.381,679.381
-694.8137,0,109,1,2,109,-15.4327,-15.4327,679.381,679.381
-12.3672,0,8,3,0,8,-13.5868,-13.809870929071,-1.2196,-1.44264369237431
-9.3739,0,10,0,3,10,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-15.9438,0,36,1,3,36,-12.7455,-12.7455,3.1983,3.1983
-9.1413,0,5,0,0,5,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.4422,0,86,3,7,86,-12.8404,-13.3445246630481,-3.3982,-3.90232466304805
-7.44,0,22,1,4,22,-15.7049,-15.7049,-8.2649,-8.2649
-464.5552,0,40,0,4,40,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-464.5552,0,32,0,2,32,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-12.0459,0,37,2,4,37,-15.8375,-16.1771708694375,-3.7916,-4.1313006441292
-14.5965,0,9,3,0,9,-9.9443,-11.0126678742793,4.6522,3.58382914670237
-12.1171,0,86,4,6,86,-13.3479,-14.0378920515264,-1.2309,-1.92084225241562
-12.3402,0,18,2,5,18,-11.2383,-11.6868820223066,1.1019,0.653330995301313
-8.8263,0,20,1,2,20,-16.6324,-16.6324,-7.8061,-7.8061
-464.5552,0,21,2,2,21,-16.7104,-17.0062651226423,447.8448,447.548967664018
NaN,NaN,5,2,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-234.2967,0,30,3,9,30,-11.4328,-12.5242114670637,222.864,221.772587815476
-8.058,1,18,2,2,19,-13.8726,-14.3929826339339,-5.8146,-6.33498263393388
-13.012,0,43,3,3,43,-11.3625,-12.2809820242724,1.6494,0.730922617363477
-9.4509,1,5,1,1,6,-13.4198,-13.4198,-3.9689,-3.9689
NaN,NaN,3,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-694.8137,0,53,3,4,53,-12.256,-13.303803140524,682.5578,681.509995908996
-12.0587,0,18,1,2,18,-12.3634,-12.3634,-0.30469,-0.30469
-9.7466,0,13,2,3,13,-12.5118,-13.2012284018396,-2.7652,-3.45462803063384
-11.9953,0,24,1,3,24,-7.998,-7.998,3.9974,3.9974
-13.5991,0,17,1,3,17,-13.7604,-13.7604,-0.16127,-0.16127
-11.3739,0,63,2,3,63,-13.2401,-13.9298904198681,-1.8662,-2.5559904198681
-14.497,0,22,2,5,22,-12.1558,-12.479610187618,2.3412,2.01738981238203
-464.5552,0,22,2,4,22,-13.4339,-14.1103639829274,451.1213,450.444836017073
-11.4651,0,48,0,1,48,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-234.2967,0,19,1,2,19,-13.7062,-13.7062,220.5905,220.5905
-11.7785,2,36,4,5,38,-11.3682,-12.7116454820033,0.41024,-0.933206677558903
-17.2431,1,44,1,2,45,-10.7643,-10.7643,6.4788,6.4788
-694.8137,0,43,2,2,43,-11.7225,-12.4093020920083,683.0912,682.404398540523
-10.5463,0,13,4,4,13,-11.6651,-12.9320901671117,-1.1188,-2.38579016711174
-12.9655,0,11,0,0,11,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.1271,0,5,0,0,5,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
-9.7802,0,72,1,6,72,-11.9042,-11.9042,-2.124,-2.124
-464.5552,0,19,0,4,19,-44.5045509299405,-44.5045509299405,-35.6502509299405,-36.2162314835196
NaN,NaN,2,0,0,NaN,-21.4787,-21.4787,-12.6244,-13.1903805535791
-12.8257,0,11,1,3,11,-13.0071,-13.0071,-0.1814,-0.1814
-12.8363,1,24,1,1,25,-16.8504,-16.8504,-4.0141,-4.0141
-6.6846,0,21,1,2,21,-15.172,-15.172,-8.4874,-8.4874
