ORF,Mean_length,Max_length,Num_of_shifted_ORF,Mean_length_30,Max_length_30,Num_of_shifted_ORF_30,Mean_length_200,Max_length_200,Num_of_shifted_ORF_200
YBL007C,571.4375,3207,96,0,0,0,130.285714285714,255,14
YBL008W,276.375,2367,56,18,18,1,38,93,12
YBL008W-A,234,234,1,0,0,0,0,0,0
YBL009W,237.771428571429,2001,35,9,9,1,66.25,180,12
YBL010C,73.2857142857143,321,21,9,9,1,40.125,87,16
YBL011W,670.542857142857,1980,35,0,0,0,31.5,36,2
YBL012C,22.125,48,8,0,0,0,0,0,0
YBL013W,242.045454545455,1197,22,0,0,0,55.2857142857143,135,7
YBL014C,289.836734693878,2295,49,9,9,1,32.7,117,10
YBL015W,327.625,1317,24,15,15,1,42,69,2
YBL016W,255.4,777,15,0,0,0,21,36,5
YBL017C,799.542056074766,4458,107,27,27,1,48.2307692307692,129,13
YBL018C,52.5,309,14,66,66,1,0,0,0
YBL019W,294.666666666667,1449,27,19,33,3,41,135,9
YBL020W,378.409090909091,1647,22,0,0,0,92.4,198,5
YBL021C,86.3333333333333,285,9,0,0,0,0,0,0
YBL022C,580.701492537313,3186,67,0,0,0,102.25,204,12
YBL023C,427.523076923077,2511,65,0,0,0,43.6,96,15
YBL024W,243.954545454545,1593,44,0,0,0,29.1,42,10
YBL025W,29.625,75,8,18,27,3,0,0,0
YBL026W,31.5,63,4,0,0,0,0,0,0
YBL027W,109,192,3,0,0,0,0,0,0
YBL028C,75,147,6,45,45,1,0,0,0
YBL029C-A,122,258,3,0,0,0,0,0,0
YBL029W,132.642857142857,810,14,12,12,1,35.5714285714286,72,7
YBL030C,233.6,873,15,0,0,0,30,72,4
YBL031W,268.2,942,15,49.5,75,2,42,84,7
YBL032W,82.5,315,12,0,0,0,72,111,5
YBL033C,117.5625,768,16,0,0,0,26.25,66,8
YBL034C,650.555555555556,4428,108,0,0,0,48.6,132,5
YBL035C,265.666666666667,1905,36,45,57,2,47.625,78,8
YBL036C,51.7142857142857,234,21,25.5,27,2,32.625,72,16
YBL037W,498.765957446808,2730,47,0,0,0,28.5,42,6
YBL038W,188.647058823529,678,17,12,12,1,49.5,105,6
YBL039C,454,1668,36,0,0,0,73.8,111,5
YBL039C-A,51,51,1,0,0,0,0,0,0
YBL039W-B,76,108,3,0,0,0,0,0,0
YBL040C,197.454545454545,471,11,0,0,0,39,63,5
YBL041W,106.363636363636,516,11,0,0,0,61,126,6
YBL042C,393.214285714286,1878,28,0,0,0,105.428571428571,273,7
YBL043W,83.85,315,20,9,9,1,85.5,153,12
YBL044W,125.25,360,4,0,0,0,0,0,0
YBL045C,69,360,15,0,0,0,129,129,1
YBL046W,245.033898305085,1314,59,18,24,4,26.5384615384615,111,13
YBL047C,616.909090909091,3915,77,0,0,0,67,90,3
YBL048W,9,9,2,0,0,0,0,0,0
YBL049W,93.6,201,5,0,0,0,0,0,0
YBL050W,100.235294117647,816,17,0,0,0,30,78,9
YBL051C,417.146341463415,1686,41,30,45,3,60.4615384615385,129,13
YBL052C,305.666666666667,2211,54,10.5,12,2,31,60,6
YBL053W,128.4,270,5,0,0,0,0,0,0
YBL054W,161.225806451613,1005,31,27,36,2,51.75,135,8
YBL055C,242.16,1179,25,0,0,0,39.3,120,10
YBL056W,296.27027027027,1323,37,0,0,0,34.3333333333333,96,9
YBL057C,133.571428571429,618,21,0,0,0,41.4,75,15
YBL058W,183.28125,1236,32,24,30,2,53,117,9
YBL059C-A,29,78,6,0,0,0,0,0,0
YBL059W,160.153846153846,465,13,10,18,3,0,0,0
YBL060W,418.46511627907,1953,43,0,0,0,55.125,96,8
YBL061C,324.45652173913,2049,46,0,0,0,47.25,105,4
YBL062W,177,264,3,0,0,0,0,0,0
YBL063W,621.160714285714,3237,56,0,0,0,38.625,111,8
YBL064C,62.625,318,16,15,15,1,43.3636363636364,144,11
YBL065W,96.3,333,10,0,0,0,0,0,0
YBL066C,578.896551724138,3393,58,0,0,0,87,186,9
YBL067C,215.466666666667,1875,45,21,24,2,52.6666666666667,165,9
YBL068W,196.421052631579,957,19,0,0,0,56.3333333333333,177,9
YBL068W-A,44.5714285714286,66,7,0,0,0,0,0,0
YBL069W,264.642857142857,1245,28,0,0,0,39.6,69,5
YBL070C,82.5,279,6,27,45,2,0,0,0
YBL071C,132,267,6,24,39,2,0,0,0
YBL071C-B,0,0,0,0,0,0,0,0,0
YBL071W-A,103.285714285714,216,7,27,27,1,0,0,0
YBL072C,70.8,255,5,0,0,0,70.8,255,5
YBL073W,78.3,303,10,17.25,24,4,0,0,0
YBL074C,293,909,33,0,0,0,37.8461538461538,96,13
YBL075C,222,1593,39,12,12,1,30,69,14
YBL076C,456.363636363636,3003,66,9,9,1,56.6666666666667,177,9
YBL077W,142.285714285714,297,7,30,45,2,0,0,0
YBL078C,68.25,150,4,0,0,0,0,0,0
YBL079W,833.62962962963,4311,81,54,54,1,46.2857142857143,84,7
YBL080C,279.333333333333,1368,27,9,9,1,29.5,51,6
YBL081W,301.3125,1059,16,0,0,0,33,48,2
YBL082C,546,1239,30,0,0,0,27,27,1
YBL083C,69,207,5,42,48,2,0,0,0
YBL084C,326.634146341463,1857,41,15,15,1,34.5,81,6
YBL085W,573.3,2862,40,0,0,0,29.3333333333333,51,9
YBL086C,158.285714285714,669,21,0,0,0,45.75,129,8
YBL087C,151.125,348,8,0,0,0,0,0,0
YBL088C,1325.11475409836,8013,183,10,12,3,21.375,63,8
YBL089W,433.571428571429,1311,21,0,0,0,45,141,7
YBL090W,168.3,345,10,0,0,0,0,0,0
YBL091C,309.782608695652,1050,23,0,0,0,35.25,87,8
YBL091C-A,64.6666666666667,300,9,0,0,0,0,0,0
YBL092W,135,135,1,0,0,0,0,0,0
YBL093C,132,366,10,0,0,0,40.5,63,4
YBL094C,63,141,4,0,0,0,0,0,0
YBL095W,110.571428571429,630,14,0,0,0,29.3333333333333,66,9
YBL096C,25,60,3,0,0,0,0,0,0
YBL097W,355.838709677419,2187,62,20,30,3,36,87,12
YBL098W,300,1155,32,0,0,0,31.8,63,10
YBL099W,159.6,1344,20,0,0,0,51,105,4
YBL100C,126,207,2,0,0,0,0,0,0
YBL100W-A,308.4,1050,25,0,0,0,39,66,6
YBL100W-B,655.282051282051,5046,117,0,0,0,39,66,6
YBL100W-C,0,0,0,0,0,0,0,0,0
YBL101C,370.608695652174,3234,69,0,0,0,25,27,3
YBL102W,164.25,408,12,0,0,0,96.5,222,6
YBL103C,355.676470588235,1458,34,0,0,0,60.6666666666667,114,9
YBL104C,419.52808988764,2919,89,10.5,12,2,24,39,11
YBL105C,569.68,3354,75,0,0,0,49.875,96,8
YBL106C,353.13698630137,2766,73,0,0,0,58,153,12
YBL107C,59.625,276,8,0,0,0,0,0,0
YBL107W-A,12,12,1,12,12,1,0,0,0
YBL108C-A,93,93,1,0,0,0,0,0,0
YBL108W,103.5,300,8,0,0,0,0,0,0
YBL109W,303,303,1,0,0,0,0,0,0
YBL111C,438.483870967742,1812,31,0,0,0,13.5,18,2
YBL112C,178.8,261,5,0,0,0,0,0,0
YBL113C,503.875,2280,48,33,33,1,43.5,54,2
YBL113W-A,136.8,480,5,18,18,1,0,0,0
YBR001C,356.678571428571,2184,56,19.5,21,2,27.75,51,8
YBR002C,218.823529411765,747,17,0,0,0,50.5,84,6
YBR003W,280.95652173913,1266,23,12,12,1,60,108,2
YBR004C,139.285714285714,672,14,0,0,0,42.6,84,5
YBR005W,113.75,438,12,12,12,1,84.2727272727273,153,11
YBR006W,241.5,1239,32,9,9,1,39,84,6
YBR007C,402.636363636364,2088,33,0,0,0,36.75,72,4
YBR008C,376.272727272727,1320,33,0,0,0,22.6666666666667,69,9
YBR009C,13.5,18,2,0,0,0,0,0,0
YBR010W,0,0,0,0,0,0,0,0,0
YBR011C,151.909090909091,729,11,0,0,0,54.8571428571429,108,7
YBR012C,63.3,216,10,0,0,0,0,0,0
YBR012W-A,347.464285714286,1056,28,0,0,0,64.2,144,5
YBR012W-B,778.03738317757,5004,107,0,0,0,64.2,144,5
YBR013C,100.5,213,8,19.5,30,2,0,0,0
YBR014C,85.2,330,10,0,0,0,25.875,51,8
YBR015C,286.714285714286,1704,35,0,0,0,28.7142857142857,72,7
YBR016W,15,18,2,0,0,0,0,0,0
YBR017C,474.670588235294,2691,85,15,15,1,34.2857142857143,81,7
YBR018C,134.142857142857,711,21,0,0,0,53.25,123,12
YBR019C,231.45,1737,40,0,0,0,37.5,69,8
YBR020W,273.8,1359,30,0,0,0,69,132,7
YBR021W,387.25,1839,36,0,0,0,61.2857142857143,129,7
YBR022W,65.3333333333333,138,9,21,21,1,0,0,0
YBR023C,529.220930232558,3300,86,23,30,3,39.9,78,10
YBR024W,38.3571428571429,84,14,42,42,1,39.25,84,12
YBR025C,147.947368421053,627,19,0,0,0,82.2,177,5
YBR026C,127.35,1119,20,0,0,0,46.125,81,8
YBR027C,135,231,4,6,6,1,0,0,0
YBR028C,243.4,1395,30,23,27,3,24.6,51,10
YBR029C,277,1356,18,0,0,0,57,111,4
YBR030W,183.5,1422,42,12,18,2,20.7,51,10
YBR031W,361.8,813,5,0,0,0,75,75,1
YBR032W,183,183,1,0,0,0,0,0,0
YBR033W,416.884615384615,2685,52,70.5,78,2,38.1428571428571,78,7
YBR034C,330.5,942,18,0,0,0,71,102,3
YBR035C,73.25,279,12,18,18,1,80.4,279,10
YBR036C,375.25,1056,24,12,12,1,48.5,111,6
YBR037C,87.5,519,12,0,0,0,33.375,60,8
YBR038W,494.564516129032,2874,62,0,0,0,74.25,165,4
YBR039W,257.1,894,20,18,18,1,36.4285714285714,87,7
YBR040W,237.15,882,20,0,0,0,22,45,6
YBR041W,273,1710,46,0,0,0,20.25,51,4
YBR042C,106.105263157895,741,19,0,0,0,28.5,48,6
YBR043C,598.083333333333,1989,36,7.5,9,2,36.75,108,4
YBR044C,225.272727272727,1494,44,36,36,1,49.3333333333333,132,9
YBR045C,143.707317073171,1137,41,0,0,0,58,192,9
YBR046C,126.692307692308,672,13,23,39,3,40.7142857142857,114,7
YBR047W,33.375,72,8,0,0,0,0,0,0
YBR048W,73.2,234,5,0,0,0,0,0,0
YBR049C,272.541666666667,2124,72,12,12,1,58.0714285714286,153,14
YBR050C,257.684210526316,921,19,0,0,0,48.75,108,8
YBR051W,0,0,0,0,0,0,0,0,0
YBR052C,92.7,234,10,18,18,1,36,72,7
YBR053C,83.6086956521739,582,23,9,9,1,31.8461538461538,57,13
YBR054W,286,876,21,15,15,1,57,156,6
YBR055C,288.91935483871,2343,62,0,0,0,35.5714285714286,54,14
YBR056C-B,27,27,1,0,0,0,0,0,0
YBR056W,153.692307692308,1218,39,0,0,0,24.5454545454545,66,11
YBR056W-A,56.4,171,5,0,0,0,0,0,0
YBR057C,357.552631578947,1092,38,0,0,0,40.25,126,12
YBR058C,182.363636363636,1437,66,0,0,0,53.7,108,10
YBR058C-A,92.25,222,4,24,24,1,0,0,0
YBR059C,757.87012987013,3288,77,45,45,1,25.6363636363636,51,11
YBR060C,259.692307692308,1479,39,21,39,3,33.5454545454545,102,11
YBR061C,132.176470588235,675,17,0,0,0,41.625,81,8
YBR062C,100.363636363636,348,11,45,51,2,0,0,0
YBR063C,251.192307692308,1158,26,24,27,2,57,114,7
YBR064W,142.285714285714,423,7,0,0,0,0,0,0
YBR065C,216.782608695652,1023,23,31.2,48,5,41.0769230769231,147,13
YBR066C,258.666666666667,636,9,6,6,1,16.8,33,5
YBR067C,122.4,435,5,0,0,0,44.25,90,4
YBR068C,365,1548,39,0,0,0,27,39,4
YBR069C,285,1560,35,0,0,0,50,126,6
YBR070C,129.75,507,12,15,15,1,30,99,7
YBR071W,253.125,573,8,0,0,0,93,102,2
YBR072C-A,84,84,1,0,0,0,0,0,0
YBR072W,51.9,132,10,0,0,0,51.9,132,10
YBR073W,646.178571428571,2775,56,0,0,0,54,123,5
YBR074W,359.3,2421,60,0,0,0,61.2,153,10
YBR076C-A,69,93,6,0,0,0,0,0,0
YBR076W,187.764705882353,720,17,40.5,60,2,59,153,6
YBR077C,176.181818181818,483,11,18,18,1,0,0,0
YBR078W,237.666666666667,984,9,0,0,0,28.5,63,4
YBR079C,428.755102040816,2337,49,0,0,0,46.875,93,8
YBR080C,383.795454545455,2223,44,0,0,0,54.75,132,4
YBR081C,492.764705882353,3099,102,24,24,1,53.4545454545455,114,11
YBR082C,115.285714285714,333,7,27,27,1,0,0,0
YBR083W,211.6,1341,15,0,0,0,24.6,30,5
YBR084C-A,77,135,6,0,0,0,0,0,0
YBR084W,419.370967741935,2673,62,0,0,0,49,132,15
YBR085C-A,15,21,3,0,0,0,0,0,0
YBR085W,192.409090909091,873,22,0,0,0,31.875,78,8
YBR086C,366.06,2208,50,0,0,0,61.3636363636364,144,11
YBR087W,232.565217391304,906,23,19.5,27,2,40,81,9
YBR088C,174.545454545455,570,11,0,0,0,38.5,108,6
YBR089C-A,120,198,2,0,0,0,0,0,0
YBR089W,202.363636363636,558,11,25.5,36,2,202.363636363636,558,11
YBR090C,30,42,2,0,0,0,0,0,0
YBR091C,107.571428571429,246,7,0,0,0,0,0,0
YBR092C,247.263157894737,1209,38,30,30,1,44.1428571428571,120,14
YBR093C,202.909090909091,1209,33,21,21,1,47.0769230769231,120,13
YBR094W,306.452830188679,1797,53,13.5,15,2,33.8181818181818,66,11
YBR095C,261.157894736842,1275,19,15,15,1,38.5714285714286,93,7
YBR096W,145.928571428571,570,14,0,0,0,45,111,8
YBR097W,614.210526315789,4068,76,9,9,1,12.6,21,5
YBR098W,211.733333333333,1968,45,0,0,0,37.2,96,15
YBR099C,71,285,6,16.5,27,2,0,0,0
YBR101C,298.5,819,16,0,0,0,50.4,102,5
YBR102C,519.255319148936,2052,47,6,6,1,29.25,60,8
YBR103C-A,15,15,1,0,0,0,0,0,0
YBR103W,163.125,1554,40,0,0,0,49.2857142857143,72,7
YBR104W,160.166666666667,657,18,36,54,2,33.5,54,6
YBR105C,157.8,711,15,0,0,0,118.5,165,2
YBR106W,342.5625,537,16,0,0,0,0,0,0
YBR107C,209.6,567,15,9,9,1,47.25,114,4
YBR108W,493.277777777778,2643,54,0,0,0,92.5,171,6
YBR109C,93,336,12,0,0,0,0,0,0
YBR109W-A,31.5,51,4,37,51,3,0,0,0
YBR110W,228.214285714286,1071,28,0,0,0,46.5,75,6
YBR111C,115.2,639,15,0,0,0,32.5714285714286,84,7
YBR111W-A,111,285,5,9,9,1,0,0,0
YBR112C,530.448979591837,2874,49,0,0,0,86.1818181818182,198,11
YBR113W,166,399,3,0,0,0,0,0,0
YBR114W,340.553571428571,1836,56,9,9,1,25.4210526315789,48,19
YBR115C,515.093023255814,3288,86,0,0,0,33.6,117,10
YBR116C,140.142857142857,360,7,0,0,0,0,0,0
YBR117C,330,1818,36,0,0,0,45,84,6
YBR118W,359.538461538462,1074,13,39,39,1,61.5,114,4
YBR119W,270,738,15,0,0,0,41.4,63,5
YBR120C,78.6,243,10,0,0,0,0,0,0
YBR121C,355.466666666667,1794,45,0,0,0,77.4545454545455,150,11
YBR121C-A,82.5,120,2,0,0,0,0,0,0
YBR122C,105.428571428571,390,7,0,0,0,0,0,0
YBR123C,265.851063829787,1779,47,0,0,0,27,51,7
YBR124W,33,54,2,0,0,0,0,0,0
YBR125C,120.652173913043,1068,23,0,0,0,36.8181818181818,84,11
YBR126C,239,1365,27,0,0,0,46.7142857142857,156,7
YBR126W-A,85,114,3,0,0,0,0,0,0
YBR126W-B,71,114,3,0,0,0,0,0,0
YBR127C,281.516129032258,1233,31,6,6,1,21.75,42,4
YBR128C,249,873,26,6,6,1,28.2857142857143,72,7
YBR129C,119.375,585,24,12,12,1,36.5,105,12
YBR130C,269.714285714286,1215,21,0,0,0,30,54,5
YBR131C-A,0,0,0,0,0,0,0,0,0
YBR131W,256.875,1620,32,0,0,0,37.7142857142857,66,7
YBR132C,295.833333333333,1776,36,45,45,1,64.5,96,8
YBR133C,324.071428571429,2013,42,0,0,0,22,60,6
YBR134W,265,363,3,0,0,0,0,0,0
YBR135W,102.375,321,8,0,0,0,0,0,0
YBR136W,960.525547445255,6918,137,0,0,0,40.5,75,6
YBR137W,102.818181818182,468,11,0,0,0,0,0,0
YBR138C,207.888888888889,1488,27,0,0,0,42.5,111,6
YBR139W,213.315789473684,1236,38,0,0,0,37,54,6
YBR140C,1433.28865979381,9240,194,0,0,0,73.7142857142857,171,7
YBR141C,173.714285714286,735,21,0,0,0,26.4,54,10
YBR141W-A,6,6,1,0,0,0,0,0,0
YBR142W,292.25,1785,36,15,15,1,36.9230769230769,96,13
YBR143C,197.869565217391,1224,23,0,0,0,61.5,138,6
YBR144C,39.8571428571429,69,7,42,42,1,0,0,0
YBR145W,127.68,753,25,0,0,0,81,168,11
YBR146W,209.294117647059,786,17,0,0,0,39.3333333333333,81,9
YBR147W,262.894736842105,846,19,0,0,0,52.2,141,10
YBR148W,160.5,1305,42,9,9,1,44.1176470588235,132,17
YBR149W,153.882352941176,993,17,0,0,0,30,57,7
YBR150C,534.918367346939,3279,98,0,0,0,28.8,90,5
YBR151W,105.833333333333,540,18,18,18,1,46.2,105,10
YBR152W,177.714285714286,597,21,0,0,0,69.2727272727273,135,11
YBR153W,120.692307692308,552,13,0,0,0,39.75,81,8
YBR154C,235.071428571429,585,14,40.5,45,2,26,45,6
YBR155W,264.260869565217,1029,23,0,0,0,46.6363636363636,114,11
YBR156C,458.571428571429,1929,35,9,9,1,44.7857142857143,126,14
YBR157C,82.8,189,10,0,0,0,65.5714285714286,159,7
YBR158W,287.090909090909,1557,33,63,63,1,46.7142857142857,63,7
YBR159W,229,1035,15,0,0,0,68.5714285714286,153,7
YBR160W,213,603,12,0,0,0,23,48,3
YBR161W,163.625,828,24,0,0,0,46.6,165,15
YBR162C,232.758620689655,1350,29,0,0,0,111,210,5
YBR162W-A,84,84,1,0,0,0,0,0,0
YBR163W,211.416666666667,1641,36,12,12,1,48,93,7
YBR164C,140.333333333333,531,9,0,0,0,0,0,0
YBR165W,193.65,786,20,6,6,1,39,84,4
YBR166C,158.032258064516,1290,31,42,42,1,51,240,14
YBR167C,68,222,6,0,0,0,0,0,0
YBR168W,275.666666666667,1134,18,0,0,0,46.875,105,8
YBR169C,243.583333333333,1722,36,0,0,0,42.75,75,8
YBR170C,280.92,1554,50,0,0,0,35.6666666666667,69,9
YBR171W,118.636363636364,486,11,0,0,0,47,123,6
YBR172C,475.894736842105,1923,38,21,21,1,28,42,3
YBR173C,132.428571428571,243,7,0,0,0,0,0,0
YBR174C,89.3333333333333,279,9,7.5,9,2,0,0,0
YBR175W,116.16,603,25,9,9,1,39.2727272727273,84,11
YBR176W,284.875,930,24,15,15,1,25.5,57,8
YBR177C,149.25,690,24,63,63,1,39.25,111,12
YBR178W,52.875,270,8,38,66,3,0,0,0
YBR179C,349.326923076923,2241,52,16.5,18,2,39.5,93,12
YBR180W,370.166666666667,1347,36,0,0,0,36,84,8
YBR181C,167.571428571429,525,7,0,0,0,108,135,6
YBR182C,207.111111111111,1176,27,30,30,1,31.8,114,10
YBR182C-A,95,171,3,21,21,1,0,0,0
YBR183W,206.8,690,15,0,0,0,32.5,42,6
YBR184W,233.41935483871,1389,31,33,57,2,33.5454545454545,60,11
YBR185C,71.625,291,16,42,42,1,23.5714285714286,42,7
YBR186W,184.3,1638,30,12,12,1,30.5,75,6
YBR187W,351.913043478261,834,23,0,0,0,40.8,60,5
YBR188C,34.8,99,5,0,0,0,0,0,0
YBR189W,58,150,3,0,0,0,0,0,0
YBR190W,105.75,231,4,0,0,0,0,0,0
YBR191W,204.5,444,6,0,0,0,0,0,0
YBR191W-A,0,0,0,0,0,0,0,0,0
YBR192W,182.714285714286,945,21,24,27,2,42.6666666666667,66,9
YBR193C,105,561,17,0,0,0,34.0909090909091,117,11
YBR194W,0,0,0,0,0,0,0,0,0
YBR195C,155.8,969,30,0,0,0,48.75,96,8
YBR196C,329.52,1389,25,0,0,0,49,72,9
YBR196C-A,96,96,1,0,0,0,0,0,0
YBR196C-B,0,0,0,0,0,0,0,0,0
