,Gene Name,DTT Fold Change,DTT Intensity (Median),DTT Localization,DTT STD,Description,H2O2 Fold Change,H2O2 Intensity (Median),H2O2 Localization,H2O2 STD,MA3 Fold Change,MA3 Intensity (Median),MA3 Localization,MA3 STD,N' NATIVEpr-GFP in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' NOP1pr-GFP in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' TEF2pr-mCherry in SD Localization,ORF,Pup2 DAmP Localization,SD Intensity (Median),SD Localization,SD STD,Significance of DTT Intensity (Median) Change,Significance of H2O2 Intensity (Median) Change,Significance of MA3 Intensity (Median) Change,Significance of Starvation Intensity (Median) Change,Starvation Fold Change,Starvation Intensity (Median),Starvation Localization,Starvation STD
45,ADE17,1.16,549.16,cytosol,302.19,"Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade16p; ade16 ade17 mutants require adenine and histidine",0.95,447.99,cytosol,120.38,1.07,503.1,cytosol,202.6,436.34,cytosol,179.06,cytosol,90.8,cytosol,300.01,cytosol,YMR120C,punctate,469.55,cytosol,170.11,0.0,0.0,0.0,0.0,1.31,617.99,cytosol,
46,ADE2,1.02,92.39,cytosol,42.72,"Phosphoribosylaminoimidazole carboxylase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway; red pigment accumulates in mutant cells deprived of adenine",1.23,111.25,cytosol,19.74,1.08,97.46,cytosol,17.36,215.31,cytosol,105.1,cytosol,,,182.89,cytosol,YOR128C,cytosol,90.34,cytosol,27.88,0.0,0.0,0.0,1.0,1.59,143.85,cytosol,
47,ADE3,1.24,394.8,cytosol,192.33,"Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase, involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine; null mutation causes auxotrophy for adenine and histidine",1.04,332.41,cytosol,70.32,1.05,334.63,cytosol,38.74,224.22,cytosol,233.55,cytosol,,,247.84,cytosol,YGR204W,cytosol,317.77,cytosol,90.78,0.0,0.0,0.0,1.0,1.73,552.11,cytosol,
48,ADE4,1.41,127.03,cytosol,68.09,"Phosphoribosylpyrophosphate amidotransferase (PRPPAT; amidophosphoribosyltransferase), catalyzes first step of the 'de novo' purine nucleotide biosynthetic pathway",0.94,84.74,cytosol,17.2,1.3,116.18,cytosol,32.84,,missing,16.65,punctate,,,,missing,YMR300C,cytosol,89.54,cytosol,26.52,1.0,0.0,0.0,0.0,1.25,112.44,cytosol,
49,ADE6,0.97,15.52,cytosol,4.24,"Formylglycinamidine-ribonucleotide (FGAM)-synthetase, catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway",1.07,17.09,cytosol,4.21,1.08,17.08,below threshold,2.56,188.62,cytosol,271.17,cytosol,76.88,cytosol,205.16,cytosol,YGR061C,below threshold,15.84,below threshold,4.02,0.0,0.0,0.0,0.0,1.17,18.69,cytosol,
50,ADE8,,,,,,,,,,,,,,,,,,,,,,YDR408C,,17.63,below threshold,3.57,,,,,,,,
51,ADF1,,,,,,,,,,,,,,32.68,nucleus,64.4,nucleus,0.0,,21.67,nucleus,YCL058W-A,,,,,,,,,,,,
52,ADH1,,,,,,,,,,,,,,1878.15,cytosol,499.67,cytosol,91.35,cytosol,195.79,cytosol,YOL086C,,,,,,,,,,,,
53,ADH2,,,cytosol,,"Glucose-repressible alcohol dehydrogenase II, catalyzes the conversion of ethanol to acetaldehyde; involved in the production of certain carboxylate esters; regulated by ADR1",0.74,16.56,cytosol,4.57,0.84,18.79,cytosol,3.88,17.81,below threshold,181.4,cytosol,66.76,cytosol,153.39,cytosol,YMR303C,cytosol,22.38,cytosol,8.42,0.0,0.0,0.0,0.0,1.12,25.18,cytosol,
54,ADH3,1.15,139.86,mitochondria,58.66,Mitochondrial alcohol dehydrogenase isozyme III; involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production,0.69,84.03,mitochondria,25.54,1.1,133.41,mitochondria,25.9,51.98,"ER,mitochondria",143.44,mitochondria,,,330.98,mitochondria,YMR083W,mitochondria,120.86,mitochondria,32.23,0.0,0.0,0.0,1.0,1.49,180.38,mitochondria,
55,ADH4,,,,,,,,,,,,,,84.98,cytosol,390.54,cytosol,78.86,cytosol,301.02,cytosol,YGL256W,,,,,,,,,,,,
56,ADH5,0.54,21.38,cytosol,13.94,Alcohol dehydrogenase isoenzyme V; involved in ethanol production,1.03,40.88,cytosol,15.23,0.78,31.02,cytosol,7.53,34.18,cytosol,85.34,cytosol,44.98,cytosol,73.22,cytosol,YBR145W,cytosol,39.58,cytosol,16.01,0.0,0.0,0.0,0.0,0.87,34.78,cytosol,
57,ADH6,1.13,144.08,cytosol,45.39,NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance,1.21,153.71,cytosol,55.26,,,cytosol,,17.81,below threshold,327.24,cytosol,,,433.68,cytosol,YMR318C,cytosol,127.02,cytosol,38.55,0.0,0.0,0.0,0.0,1.28,163.51,cytosol,
58,ADH7,,,cytosol,,NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity; member of the cinnamyl family of alcohol dehydrogenases; may be involved in fusel alcohol synthesis or in aldehyde tolerance,0.9,15.82,cytosol,2.59,1.09,18.97,below threshold,3.23,19.55,below threshold,223.37,cytosol,68.81,cytosol,253.41,cytosol,YCR105W,below threshold,17.39,below threshold,4.07,0.0,0.0,0.0,0.0,1.14,19.91,cytosol,
59,ADK1,0.99,18.91,cytosol,6.86,"Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence",0.87,16.65,cytosol,2.61,1.05,19.9,below threshold,3.25,324.06,cytosol,342.34,cytosol,84.64,cytosol,403.3,cytosol,YDR226W,below threshold,19.03,below threshold,5.05,0.0,0.0,0.0,0.0,0.8,15.33,cytosol,
60,ADK2,0.94,16.4,mitochondria,6.05,"Mitochondrial adenylate kinase, catalyzes the reversible synthesis of GTP and AMP from GDP and ADP; may serve as a back-up for synthesizing GTP or ADP depending on metabolic conditions; 3' sequence of ADK2 varies with strain background",0.99,17.26,mitochondria,3.42,0.9,15.63,mitochondria,1.95,21.55,below threshold,27.27,"ambiguous,cytosol",22.76,below threshold,8.01,below threshold,YER170W,mitochondria,17.34,mitochondria,4.83,0.0,0.0,0.0,0.0,1.02,17.75,mitochondria,
61,ADO1,1.11,410.09,cytosol,106.78,"Adenosine kinase, required for the utilization of S-adenosylmethionine (AdoMet); may be involved in recycling adenosine produced through the methyl cycle",1.06,393.72,cytosol,65.08,1.07,395.7,cytosol,59.06,0.0,missing,343.29,cytosol,,,,missing,YJR105W,cytosol,369.19,cytosol,86.35,0.0,0.0,0.0,,,,nucleus,
62,ADP1,1.16,16.47,cytosol,5.97,Putative ATP-dependent permease of the ABC transporter family of proteins,1.2,17.1,cytosol,3.14,0.97,13.74,below threshold,1.9,24.22,vacuole,68.92,vacuole,25.58,,42.12,vacuole,YCR011C,below threshold,14.17,below threshold,4.24,0.0,0.0,0.0,0.0,1.4,19.92,cytosol,
63,ADR1,1.64,36.46,cytosol,21.59,"Carbon source-responsive zinc-finger transcription factor, required for transcription of the glucose-repressed gene ADH2, of peroxisomal protein genes, and of genes required for ethanol, glycerol, and fatty acid utilization",1.12,24.93,cytosol,4.89,1.1,24.29,cytosol,3.04,30.77,cytosol,59.78,cytosol,41.93,cytosol,48.54,cytosol,YDR216W,cytosol,22.11,cytosol,5.66,1.0,0.0,0.0,0.0,0.93,20.66,cytosol,
64,ADY2,0.99,14.73,cytosol,4.22,Acetate transporter required for normal sporulation; phosphorylated in mitochondria,1.05,15.63,cytosol,3.06,0.98,14.59,below threshold,2.21,18.33,below threshold,121.03,"cell periphery,vacuole",39.67,"ER,punctate",304.92,"cell periphery,vacuole",YCR010C,below threshold,14.87,below threshold,4.17,0.0,0.0,0.0,0.0,1.16,17.33,cytosol,
65,ADY3,1.08,18.17,cytosol,5.63,"Protein required for spore wall formation, thought to mediate assembly of a Don1p-containing structure at the leading edge of the prospore membrane via interaction with spindle pole body components; potentially phosphorylated by Cdc28p",0.89,15.0,cytosol,3.23,0.96,16.06,below threshold,2.38,19.21,below threshold,54.91,punctate,30.84,punctate,35.66,"punctate,nucleus",YDL239C,below threshold,16.79,below threshold,3.96,0.0,0.0,0.0,0.0,0.95,16.02,cytosol,
66,ADY4,1.0,15.96,cytosol,5.92,"Structural component of the meiotic outer plaque, which is a membrane-organizing center that assembles on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane",1.06,16.84,cytosol,3.1,1.26,19.93,below threshold,4.98,16.87,punctate,38.69,punctate,0.0,,,missing,YLR227C,below threshold,15.84,below threshold,4.26,0.0,0.0,0.0,0.0,0.8,12.76,cytosol,
67,AEP1,1.28,26.6,mitochondria,9.17,Protein required for expression of the mitochondrial OLI1 gene encoding subunit 9 of F1-F0 ATP synthase,1.03,21.56,mitochondria,3.43,1.06,21.92,mitochondria,2.96,19.84,below threshold,28.92,nucleus,0.0,,20.75,nucleus,YMR064W,mitochondria,20.75,mitochondria,5.47,0.0,0.0,0.0,0.0,1.01,21.04,mitochondria,
68,AEP2,1.04,23.18,mitochondria,7.52,"Mitochondrial protein, likely involved in translation of the mitochondrial OLI1 mRNA; exhibits genetic interaction with the OLI1 mRNA 5'-untranslated leader",1.07,23.83,mitochondria,3.72,1.15,25.65,mitochondria,4.7,22.94,mitochondria,44.72,mitochondria,0.0,,7.15,missing,YMR282C,mitochondria,22.24,mitochondria,4.71,0.0,0.0,0.0,0.0,0.97,21.7,mitochondria,
