,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
YBR201W,-5.1,-2.2,-4.9,-7.2,-8,-3.9,-6.6,-10.1,-10.1,-8,-4.2,-0.5,-2.1,-1.6,-1.6,-3.9,-2.7,-9.6,-2.7,-5.2,-5.2,-3.6,0,-0.4,-2,-4.8,-5.2,-1.5,-1.8,-9,-11.4
YNL243W,-1.3,-8.7,-10.9,-9.8,-9.5,-2.8,-4.3,-7,-8.9,-2.9,-2.9,-4.4,-4.1,-2.1,-4.1,-4.3,-5.6,-5.5,-3.9,-4.4,-6.5,-11.3,-10.7,-10.8,-10.2,-6.4,-4.4,-4.5,-4.4,-5.5,-8.7
YDR366C,-3.7,-3.7,-0.9,-0.1,-2,-0.5,-1.9,-1.8,-1.9,-4.9,-10.2,-2,-0.5,-5,-5.8,-5.8,-5.4,-5.9,-6.9,-5.2,-4.1,-1.3,-5.6,-2.3,-1.6,-1.1,-2.9,-2.9,-4.4,-3.8,-7.3
YHR087W,-2.6,-3.4,-4.8,-5.1,-6.3,-9.1,-0.7,-1.6,-1.9,-2.6,-3.4,-6.4,-3.1,-8.4,-14.2,-13.4,-14.4,-11.8,-6.6,-8.3,-2.7,-6.8,-6.7,-4,-4.2,-6.2,-3.6,-5.6,-5.1,-4.3,
YOR118W,-5.3,-6.8,-4.4,-4.4,0,-0.3,-1.2,-0.7,-0.3,-0.9,-0.9,-2.7,-3.1,-3.9,-0.4,-1.6,-1.3,-1.3,-1.3,-2.4,-6.1,-7.9,-6,-5.6,-3.4,-4.6,-0.9,0,-2.2,-2.3,-3.2
YKR046C,-0.6,-4.9,-5.8,-6.3,-5.4,-5.8,-2.4,-1.8,-4.3,-6.1,-10.2,-9,-5.9,-5.7,-4.9,-6.9,-7,-5.5,-5.8,-13.1,-8.4,-11.6,-7.9,-8,-4.8,-9.1,-8.1,-6.5,-4.7,-6.4,-6.8
YCR075C,-8,-8.6,-10.5,-6.6,-9.4,-5.2,-4.9,-5.4,-5.7,-5.9,-4.4,-3.3,-6.3,-6.3,-1.9,-3.8,-4.4,-2.9,-8,-13.1,-15.4,-7,-5.2,-5,-5,-6.8,-4.3,-7,-9.2,-10.3,-8.3
YER175C,-5.2,-5.2,-1.4,-1.5,0,-1.2,-1.2,-0.6,-0.8,-2.1,-1.3,-6.1,-10.5,-5,-4.7,-1.8,-3.7,-2.7,-7,-7.3,-1.1,-1.6,-4.1,-4.1,-3.3,-0.5,-4.1,-4.8,-1.9,-1.4,-1.4
YJL097W,-0.1,0,-1,-3.4,-1.1,-1.1,-1.8,-4.3,-5.6,-5.7,-5.7,-2.1,0,-3.9,-4.8,-2.9,-3,-4.1,-4.1,-2.3,-2.7,-6.2,-4.9,-5.8,-2.2,-6.1,-9,-8.2,-6.8,-3.7,-1.8
YBR090C,-7.5,-3.6,-4.7,-4.7,0,-4.3,-2.1,-3.7,-5.9,-2.7,-5.2,-3.1,-7.7,-6.9,-5.5,-4.1,-4.1,0,-1.4,-2.3,-2.4,-3.4,0,-2,-1.8,-5.1,-5.9,-10.9,-10.9,-4.7,-4
YIL062C,-3.6,-4.4,-3.1,-8.2,-15,-10.4,-2.9,-2,0,0,0,-1.9,-8.3,-10.1,-7.8,-5.8,-3.3,-0.5,-0.5,-9.7,-9.7,-11.8,-6.4,-9.2,-6.4,-6.9,-3.6,-2.9,-4.7,-4.7,-6.3
YNL318C,-5,-5,-2.4,-7.8,-6.7,-4.3,-5.1,-2.6,-3.3,-1.5,-1.5,-0.4,-0.4,-4.1,-4,-3.4,-4.5,-3.6,-2.5,-2.4,-4.4,-7.1,-6.8,-6.8,-2.7,-1.2,-1.9,0,-1.8,-1.8,-1.1
YPL187W,-3.6,-3.7,-7.2,-7.1,-1.5,-2.2,0,-3,-7.5,-4.6,-4.5,-5,-3,-4.7,-7,-5.8,-0.6,-0.4,-1.9,-3.2,-4.1,-8.6,-4.5,-5.1,-5.6,-4.9,-10.6,-10.9,-2.3,-2.8,-9
YIL116W,-6.3,-1.3,-1.3,-1.4,-6,-5.2,-2.4,-2.5,-8.1,-2.6,-3.4,-4.3,-3.5,-4,-0.5,-3,-3,-0.6,0,-2.5,-2.5,-4.2,-9.9,-3.9,-3.9,-5.3,-6.5,-5.1,-8.7,-6.3,-4.9
YGL092W,-2.8,-8.6,-7.5,-2.3,-1.8,-2.7,-2.7,-2.7,-4.8,-6.9,-5.7,-3.5,-1.6,-0.3,-5.8,-4.8,-3.4,-1,0,0,-2.2,-2.2,-2,-4.8,-5.5,-5.5,-5.5,-9.4,-4.6,-5.5,-5.9
YOR174W,-6.5,-5.1,-5.2,-6.6,-9.7,-9.7,-8.5,-4.9,-2.3,-1.6,-6.1,-6.5,-3.9,-3.9,-4.1,-3.2,-5.3,-1.4,-7.7,-7.7,-9.7,-7.5,-5.3,-5.7,-3.7,-2.8,-0.8,-1.7,-3.7,-3.7,-3.7
YFR012W-A,-0.4,-4.2,-4.2,-2.2,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
YMR136W,0,-0.2,-2.6,-2.9,-2.7,-2.7,-4.8,-6.8,-7.4,-8.5,-6.1,-1.6,-3.3,-4.5,-4.3,-4.2,-2.1,-1.6,-1.6,0,-1.9,-1.9,0,-1.9,-1.9,0,0,0,0,0,0
YGL231C,-7,-7.6,-6,-2.3,-1.4,-1.3,0,-1.1,-11.9,-10,-5.4,-5.4,0,-2.5,-2.5,-1.8,-2.1,-2.1,-1.1,-2.3,-4.1,-6.5,-4.2,-1.5,-1.5,-1.8,-2,-2,-1.5,-1,-1.6
YGR278W,-4.8,-0.9,-4,-3.9,-4.3,-5.8,-0.1,-1.8,-1.8,0,-1.1,-3.7,-6.3,-6,-2.9,-10.8,-2.9,-2.8,-4.7,-11.1,-8.3,-8.5,-0.6,-3.6,-5.7,-4.9,-5.6,-4.3,-5.1,-1.1,-2.7
YKR035W-A,-2.7,-6.9,-6.9,-0.6,-0.6,-0.8,-0.8,-0.8,-0.8,0,-2.3,-2.3,-1.1,-2.6,-3.4,-3.8,-3,0,-4.7,-7.4,-8,-5.2,-9.7,-5.7,-8.3,-8.3,-6.1,-5.3,-4.1,-3.3,-3.4
YBR196C-B,-6.3,-2,-3.7,-3.7,-3.7,-2.9,-6.1,,,,,,,,,,,,,,,,,,,,,,,,
YDR194C,-6.9,-2.7,-3.6,-3.6,-4.1,-3.9,-8,-4.3,-2.8,-6.1,-0.9,-2.2,-2.3,-2.3,-2.7,0,-3.7,-4.3,-5.5,-5.5,-4.2,-4.3,-5.4,-7.3,-0.5,-0.6,-0.1,0,-3.4,-8.5,-12.2
YML071C,-6.3,-3.5,-3.3,-5.4,-4.5,-5.6,-4.7,-1.6,-0.9,-3.5,-8.1,-7.5,-5.3,-3.1,-4.5,-6.5,-3.1,-3.3,-2.2,-0.5,-3.7,-3.7,-3.5,-5.4,-1.6,-6.5,-7.5,-4.2,-4.9,-1.9,-2.6
YJR036C,-3.1,-1.3,-6.6,-5.1,-4.2,-6.4,-6.4,-4.9,-5.8,-2.8,-6,-6.6,-10.1,-10.2,-6.8,-4,-4.2,-5.1,-6.9,-8.6,-5.1,-6.4,-2.2,-2.7,-6.6,-7.6,-3.9,-2.7,-4.9,-2.7,-1.9
YER090W,-3.4,-3.4,-0.6,-0.6,-1.2,-1,-1.3,-6.7,-7.9,-5.3,-10.8,-4.8,-5.4,-1.2,-2.6,-7.3,-8.5,-1.9,-2.1,-4.5,-4.5,-2.5,-2.8,-5.9,-7.1,-4,-7,-7,-8.6,-5.7,-5.4
YLR240W,-7.1,-10.1,-7.2,-4.8,-6.2,-6.4,-2.7,-4.5,-0.2,-0.2,-0.2,-6.6,-4.4,-7.4,-0.1,-3.7,-2.6,-1.5,-3,-3,-3.9,-4.2,-4.6,-4.7,-2.7,-3.9,-3.5,-3.4,-1.9,-1.9,-3.9
YOR214C,-3.8,-4.8,-4.8,-10.3,-5.9,-5.3,-5,-2.7,-1.2,-3.7,-6,-6.2,-3.5,-3.5,-0.9,-2.9,-5.6,-7.5,-5.2,-1.3,-5.9,-5.2,-4.6,-3.2,-3.6,-2.5,-2.6,-8.3,-8.6,-7.4,-4.4
YKL101W,-6.5,-5.4,-6.2,-7.4,-10.3,-12.7,-4.8,-3.5,-4.2,-5.9,-5.9,-3.4,-12.1,-7.7,-0.8,0,-3.3,-3.3,0,-3.2,-3.2,-8.4,-6.8,-4.6,-3.7,-6,-6.5,-2.8,-3.1,-5.4,-7.9
YBR045C,-3.7,-7.6,-4.2,-7.4,-7.4,-5.1,-5.7,-5.8,-5.8,-5.3,-6.2,-6.8,-3.7,0,-4.3,-3.6,-2.5,-3.4,-4.1,-2.2,-1.6,-9.3,-5.7,-2.5,-2.6,-3.4,-3,-5.4,-6.5,-3,-1.1
YDR186C,-6.3,-6.3,-11.3,-7.1,-2.6,-7.5,-9,-6.7,-8.3,-4,-4,-2.5,-5.7,-10.2,-12.9,-7.5,-3,-1.5,0,0,-1.2,-3.8,-3.8,-2.2,-8.2,-9.2,-8.5,-8,-1.2,-1.3,-3.4
YPR163C,-3.9,-3.9,-5.8,-7.6,-7,-8.3,-8.3,-7,-5.5,-4.2,-1.9,-1.4,-1.8,-3.7,-5,-4.2,-6.2,-8.3,-6.5,-6.8,-6,-8.7,-7.7,-8.9,-8.5,-8.6,-5.4,-8,-6.6,-5.2,-5.7
YOL136C,-3.3,-2.8,-4.4,-5.3,-1.2,0,0,-1.7,-2.1,-3.7,-3.3,-5.3,-6.2,-3.2,-0.4,-3.1,-3.1,-3.1,-5.4,-3.2,-1.6,0,0,-0.2,-0.2,-0.3,-1.5,-2,-4.8,-8.1,-9.6
YMR008C,-8.1,-4.6,-5.6,-10.5,-5.6,-4.1,-4.8,-9.1,-6.9,0,-4.2,-4.7,-6.2,-8.6,-2.1,-0.9,-1.1,-6.5,-5.9,-9.5,-1.6,-1.8,-1.6,-1,-8,-7.2,-3.6,-3.5,-9,-11.3,-10.5
YBR109C,-0.6,-1.8,-2.8,-7.3,-8.9,-2.5,-2.4,-8.7,-14.1,-12.3,-12.4,-12.4,-2.8,-0.9,-0.9,-6.8,-8.7,-6.8,-4.4,-2.7,-3.9,-2.7,-2.5,-0.8,-1.9,-1.6,-4.3,-6.8,-8.1,-5,-2.8
YMR059W,-2,-3.4,-2.5,-6.8,-9.6,-2.1,-1,-1.4,-2.2,-3.9,-6.4,-6.4,-7.4,-2.8,-3.2,-5,-2.1,-2.1,0,-2.3,-2.5,-3.3,-5.1,-5.6,-2.4,-6.2,-3.4,-3.4,-4.6,0,-4.2
YNL269W,-2.6,-1.6,-3.1,-4.7,-1.5,-0.5,-0.8,-3.5,-6.3,-8.4,-7.2,-5.7,-7.2,-5.4,-4.1,-2.3,-1.7,-0.1,-1,0,-4.2,-4.2,-1.6,0,-3.5,-8.7,-9.5,-5.2,-3.1,-1.1,-0.7
YGL192W,-2.4,-4.3,-3.4,-2.2,-8.2,-6.8,-3.4,-8.1,-8.5,-10.1,-2.9,-1.1,-3.1,-4.7,-2.7,-4.3,-4.3,-4,-4.5,-2.3,-2.1,-5.1,-5.1,-5.1,-5.3,-5.6,-3.8,-3.8,-0.3,0,0
YLR027C,-0.6,-1.8,-4.3,-9,-10.4,-7,-6.6,-9.2,-8.8,-9.9,-4.4,-9.2,-7.5,-9.2,-3.1,-1.7,-2.3,-2.3,-3.6,-6.9,-5.2,-6.9,-6.5,-4.7,-5.5,-5.8,-5.7,-5.2,-4.8,-5,-4.7
YIL019W,-0.1,-0.7,-4.5,-6.2,-3.6,-4,-9.4,-7.1,-3.8,-0.6,-0.6,-5.3,-3.1,-2.3,-3.4,-5.5,-5.5,-3.6,-4.5,-5.6,-6,-12.2,-7.8,-2.4,-2.4,-1.1,-1.1,-4.5,-10.5,-1.9,-1.6
YOR267C,-1.6,-7.6,-9.5,-11.6,-2.5,-0.9,-0.4,-0.4,-0.6,-4.6,-2.1,-2.5,-2.5,-3,-3,-1.6,-1.6,-1.5,0,0,0,0,-0.2,-0.6,-0.6,0,0,0,-2.3,-5.8,-5.8
YDR180W,-8.9,-5.4,-1.6,-5.7,-5.8,-6.4,-7,-6.8,-6.3,-8.1,-7.4,-4.8,-3.2,-2.8,-8.2,-2.5,-2.5,-1,-4,-4,-4.6,-4.8,-7,-5.9,-2.9,-1.3,-4.6,-6.6,-3.6,-3.1,-3.1
YHR143W-A,-3.1,-4.3,-4.2,-4.6,-5.9,-7.9,-3.9,-3.7,-4,-4.2,-4.2,-6.9,-13,-11.7,-4.3,-8.2,-7.8,-6.7,,,,,,,,,,,,,
YNL214W,-4.6,-4.6,-7.4,-5.6,-1.2,-1.7,-4,-4.6,-5,-5,-2,-1.8,-1.6,0,-2.8,-6,-1.8,-3.4,-7,-1.5,-2.4,-10.7,-8.7,-4.4,-7.7,-10.4,-11.6,-6.1,-6.1,-6.7,-6.7
YMR315W-A,-7.1,-5.5,-2.9,-2.9,-0.6,-5.5,-5.5,,,,,,,,,,,,,,,,,,,,,,,,
YLR061W,-2.9,-2.1,-3.2,-1.2,-4.5,-3.5,-3.5,-4.7,-2.7,-6.2,-15.5,-9.9,-4.8,-5.4,-5,-7.4,-4.2,-5.3,-3.8,-4.5,-8.1,-10.7,-12,-5.4,-2.8,-4.7,-7.2,-3.2,-3.3,-3.6,-2.6
YDR014W-A,-8.7,-9.9,-5.3,-6.4,-7.8,-2.8,-5.6,-5.8,-2.1,-3.5,-3.6,-3.8,-5.2,-2.1,-1.2,-0.2,-1.6,-1.7,-1.1,-10,-8.8,-9.9,-15.1,-8.6,-5.8,-2.3,-1.3,-3.2,-5.2,-5.6,-2.9
YML043C,-3.7,-3.2,-1.6,-0.1,0,0,-1.2,-3.2,-4.4,-0.9,-2,-1.1,-4.5,0,-0.1,-3.7,-2.9,-1.5,-3.2,-2,0,0,-2.3,-2.9,-4.6,-6.2,-1.5,-2.1,-3.7,-3.7,-3.4
YHR170W,-1.7,-5.1,-5.1,-5.3,-4.2,-11.5,-11.6,-7.9,-7.4,-4.1,-2,-3.5,-4.4,-3.7,-4,-5.1,-8.7,-8.8,-3.5,-5.1,-4.8,-4.3,-1.3,-3.1,-6.3,-6.5,-2,-5,-7.6,-6,-2.9
YIL156W-B,-3,-5,-6.4,-7.9,-7.3,-6.3,-7.8,-3.6,-5.3,-4.2,-3.2,-0.3,-0.8,-5.1,-4.8,-5.4,-6.8,-5,-9.5,,,,,,,,,,,,
YHR076W,-2.6,-6.4,-10.4,-12.5,-5,-4.1,-1.8,-2.7,-5.7,-3.9,-6.1,-7.7,-4.8,-3.7,-5.1,-4.6,-5.7,-2.4,-1.5,-4.3,-3.2,-3.2,-4.3,-2,-3.4,-2,-2.4,-1.4,-1.8,-9.4,-7.9
YDR487C,-0.1,-1.4,-4.3,-4.3,-5.1,-6.7,-7.1,-9.2,-6.1,-7.5,-7.5,-4.4,-9.5,-7,-7.6,-8.4,-4.1,-4.9,-3.9,-4.7,-4.1,-3,-4.7,-3.3,-2.3,-7.2,-7.3,-7.4,-5.2,-4,-9
YJL147C,-5.1,-5.4,-5.4,-7.7,-3,-3.2,-6.4,-6.4,-12.2,-5,-1.7,-3.5,-3,-6.5,-3,-0.5,-0.5,0,0,-0.7,-3.2,-4.3,-3.6,-1.5,-0.3,-4,-7.5,-3.6,-0.5,-3.5,-3.5
YOR310C,-5.2,-2.8,-3.4,-3.2,0,0,-5.4,-6.6,-10.9,-8,-8,-8,-0.9,-1.4,-9,-8.6,-4.1,-8.6,-2.7,-4.7,-10.9,-1.8,-4.2,-4.2,-3.1,-7.7,-7.8,-3.1,-4.1,-6.8,-5.7
