ORF,AA_cons_geometric_all,nt_cons_geometric_all,AA_cons_median_all,nt_cons_median_all,AA_cons_geometric_closest,nt_cons_geometric_closest,AA_cons_median_closest,nt_cons_median_closest,AA_cons_geometric_all_beg,nt_cons_geometric_all_beg,AA_cons_median_all_beg,nt_cons_median_all_beg,AA_cons_geometric_all_end,nt_cons_geometric_all_end,AA_cons_median_all_end,nt_cons_median_all_end,AA_cons_geometric_closest_beg,nt_cons_geometric_closest_beg,AA_cons_median_closest_beg,nt_cons_median_closest_beg,AA_cons_geometric_closest_end,nt_cons_geometric_closest_end,AA_cons_median_closest_end,nt_cons_median_closest_end
YAL051W,0.3589563635152622,0.5197164734593013,0.333,0.5,0.29027431057655184,0.4661032538779194,0.274,0.444,0.29916161924663537,0.4736726035079944,0.28900000000000003,0.444,0.35004535783007223,0.5312396356862962,0.333,0.518,0.24524415839521616,0.4184261881349369,0.2265,0.4235,0.2911839944863445,0.4798951752042244,0.2525,0.451
YAL049C,0.6577438440876685,0.6920230080187157,0.7,0.7004999999999999,0.3855290360263293,0.5134908870807112,0.4015,0.4905,0.6475792660103468,0.6783825427517359,0.688,0.679,0.7048607103401279,0.7073110255229024,0.8105,0.7364999999999999,0.3321794027533093,0.4929983863357926,0.293,0.463,0.3987577621780757,0.507808269936252,0.40299999999999997,0.4815
YAL048C,0.7181334366142091,0.6946714056920934,0.79,0.752,0.5500308992610854,0.5770072740174356,0.598,0.5785,0.768765798906091,0.7151649869996807,0.8005,0.8,0.5637866176087454,0.6193772117489962,0.6174999999999999,0.62,0.6076028355524195,0.6059131609809892,0.6785,0.61,0.4125220443337167,0.5045671078551658,0.4175,0.4845
YAL047C,0.4069319684946617,0.5536580559585371,0.4,0.52,0.4069319684946617,0.5536580559585371,0.4,0.52,0.3255872766526942,0.4984653727502076,0.28,0.48,0.5848905317705865,0.6181593000336338,0.78,0.6,0.3255872766526942,0.4984653727502076,0.28,0.48,0.5848905317705865,0.6181593000336338,0.78,0.6
YAL046C,0.6175189635373655,0.6753127725695279,0.7165,0.6759999999999999,0.35026191102390336,0.4951630859511399,0.3215,0.4615,0.4629754938121848,0.5843956856639365,0.462,0.5379999999999999,0.7646175621421923,0.7585197051192798,0.7785,0.7929999999999999,0.220847238752434,0.4073851504623087,0.1985,0.38,0.4787890263645758,0.5714488157169969,0.4935,0.5695
YAL044W-A,0.7244750630842078,0.7184988319110204,0.8,0.769,0.5040025719092998,0.5657475341928137,0.507,0.5489999999999999,0.6983728655455281,0.708367889699273,0.78,0.7645,0.7252354663698852,0.720933584219259,0.7789999999999999,0.7595000000000001,0.4477314021940974,0.53643641368243,0.4585,0.514,0.5584190245640004,0.5936090626961968,0.532,0.603
YAL044C,0.7269150848509796,0.7339977071532579,0.8,0.7825,0.4468783805359293,0.5643139775696935,0.44799999999999995,0.541,0.6510271349104582,0.6679819387267691,0.7124999999999999,0.6815,0.6659006350087016,0.7361151839202812,0.6985000000000001,0.8,0.3026979045740621,0.4593195111107848,0.3005,0.4385,0.4421181055906983,0.5823781344295015,0.4195,0.583
YAL043C,0.6372871417326974,0.6801591085616085,0.6729999999999999,0.703,0.3904327799501447,,0.3965,,0.6046603354022736,0.6716615216438215,0.665,0.69,0.6919010206993984,0.6999251338956075,0.679,0.7284999999999999,0.3925009614162109,0.5144247655232391,0.423,0.49200000000000005,0.4231458193495847,0.5241569586412196,0.4350000000000001,0.504
YAL042W,0.7338771806864328,0.7248407842629937,0.818,0.7879999999999999,0.5565836993627963,0.6005375330853243,0.593,0.607,0.7532733231840959,0.7183155149861284,0.8,0.7845,0.8020875984031595,0.7467421872617465,0.8505,0.8225,0.5812411094045653,0.5973658406035091,0.601,0.614,0.5590515393849405,0.5905787388769761,0.58,0.6125
YAL041W,0.7314087029907596,0.7242218795509922,0.8115,0.7659999999999999,0.4773224462114466,0.5558922254357709,0.4915000000000001,0.5329999999999999,0.590039321948786,0.6482730853177663,0.5795000000000001,0.6194999999999999,0.7979311248123959,0.7743338096820264,0.84,0.84,0.3790089415735307,0.4786517580259649,0.3445,0.4375,0.5223484895518643,0.6176532494201209,0.535,0.611
YAL040C,0.5523733347791999,0.6552619337284434,0.5710000000000001,0.643,0.3261502352959462,0.4799034067620202,0.324,0.453,0.4655671429806082,0.5922829265949413,0.4385,0.6,0.4639160930163345,0.5824359081996107,0.457,0.5710000000000001,0.27836348430036584,0.43681438495161823,0.278,0.425,0.21905209165434006,0.3843371270257999,0.185,0.3595
YAL039C,0.6445154051976798,0.669163388384702,0.738,0.682,0.4309888629077245,0.5342474099925095,0.4270000000000001,0.52,0.4259571636399159,0.5648199051532417,0.3645000000000001,0.5569999999999999,0.6458761180752788,0.6716868140882687,0.6709999999999999,0.679,0.2974892525028618,0.4481335416805832,0.256,0.4415,0.4004508191748187,0.5169790602451256,0.45,0.5
YAL038W,0.8940308809713821,0.8737514848643634,1.0,0.971,0.6757079269131064,0.6884794306196499,0.799,0.7224999999999999,0.8394446183928784,0.8318732313423421,0.964,0.893,0.7928240815071851,0.8182700324856578,0.8474999999999999,0.8574999999999999,0.5894777409467346,0.6461203435228241,0.6809999999999999,0.6335,0.5780304163843291,0.65260035667774,0.6234999999999999,0.6509999999999999
YAL036C,0.9439896753084284,0.8277019241813709,1.0,1.0,0.6349740322319499,0.6313807428437532,0.6679999999999999,0.636,0.9295876747714212,0.8243826940824291,1.0,0.9520000000000001,0.9421939721830344,0.8334436629988125,1.0,1.0,0.6863322716405551,0.6584747966931699,0.722,0.6895,0.6153110144788748,0.6151700352574735,0.6585000000000001,0.596
YAL035W,0.8252881916706305,0.8004231116060169,0.96,0.882,0.607479370245747,0.6334676416349216,0.6759999999999999,0.65,0.5802668991339411,0.7033601769685941,0.617,0.7155,0.8889214023643862,0.8198603187677752,0.9825,0.9435,0.3815315805385909,0.5467364831180751,0.3325,0.55,0.6316889152948635,0.6364956046418861,0.7,0.6655
YAL034W-A,0.5885262298446192,0.6496582778215133,0.615,0.652,0.3562051136063001,0.4942207404741622,0.364,0.472,0.8086377299589191,0.7458062261889099,0.889,0.852,0.4899046840763948,0.5969522404430294,0.528,0.5894999999999999,0.43269773382781496,0.5555751791928233,0.452,0.5395000000000001,0.3037517618582086,0.4609893022642117,0.322,0.4455
YAL034C,0.5514023509031359,0.6208498563084814,0.5760000000000001,0.612,0.3484410745006881,0.4797961830370489,0.319,0.444,0.4209035792727054,0.5642115976393709,0.40299999999999997,0.5505,0.8293383559665037,0.7609340023985576,0.972,0.8885000000000001,0.19757222560829016,0.3838316174420983,0.175,0.3715000000000001,0.6199108216194685,0.6322822881769923,0.6659999999999999,0.6515
YAL033W,0.6147672343479121,0.6695819489261474,0.6779999999999999,0.675,0.38608577357379387,0.5007942498142595,0.379,0.48,0.58379475613228,0.6474852265283045,0.6785,0.635,0.4815440909188176,0.6327518458344885,0.471,0.6245,0.35704594962633524,0.5056530819411138,0.311,0.479,0.28835845882418665,0.4574942505380475,0.27,0.4655
YAL031C,0.4330304275765837,0.5590761385287262,0.425,0.5479999999999999,0.4120511174038704,0.541554144456406,0.414,0.516,0.5144735966007107,0.6070835876238033,0.5594999999999999,0.6,0.4094751408163561,0.5454790921214118,0.42,0.5329999999999999,0.5144735966007107,0.6070835876238033,0.5594999999999999,0.6,0.40540934039951815,0.5352576337171401,0.419,0.517
YAL030W,0.8474322900920381,0.7623587202933644,0.967,0.933,0.7451894685908002,0.6969726930639926,0.905,0.778,0.7690326441807344,0.7330445727363158,0.933,0.833,0.8937615954284203,0.7815096705658627,0.984,0.967,0.6653417761401059,0.6594295714205997,0.807,0.7230000000000001,0.797695315049958,0.7317843531380225,0.905,0.873
YAL029C,0.9195182906667536,0.9023882122979194,1.0,1.0,0.6056271604082257,0.6191177156197201,0.667,0.625,0.9114169349909174,0.8966604854062359,1.0,1.0,0.9091176544660108,0.8861645351833665,0.9925,1.0,0.4685017473615136,0.5605822958299205,0.5,0.5655,0.5756517038102003,0.5865693670186511,0.6174999999999999,0.633
YAL028W,0.5158221127086097,0.6375894779924952,0.5,0.625,0.4592464373447387,0.5868709042848752,0.5,0.6,0.42955813583837604,0.6054555169632273,0.429,0.6,0.5781039479959501,0.6774523024700467,0.5710000000000001,0.6905000000000001,0.3712953458614757,0.5519980239915392,0.375,0.5710000000000001,0.5328973752496959,0.6415057708614204,0.5,0.625
YAL027W,0.4729789617802017,0.5817541852111751,0.481,0.556,0.4280751156032384,0.5443885008177278,0.441,0.529,0.5467612116672134,0.6088805704240251,0.5905,0.593,0.4559978744879607,0.5927785437130905,0.407,0.5575,0.4962783973037511,0.5694422077572534,0.4855,0.5379999999999999,0.4219224663253843,0.5597752117025724,0.38799999999999996,0.529
YAL026C,0.7898707940406354,0.7497793830403808,0.926,0.8370000000000001,0.6506320621782152,,0.7685,,0.5796055610272371,0.6507650616126729,0.603,0.6515,0.4201100532396934,0.5757247099494877,0.3725,0.5379999999999999,0.5207118550984058,,0.537,,0.268512401771235,0.44161389463600215,0.25,0.4310000000000001
YAL025C,0.8146916915467334,0.7840076794374629,0.906,0.867,0.5601526772541636,0.6100163143095034,0.5825,0.63,0.9130942135198972,0.8166639036555864,0.9675,0.9515,0.6312659931355129,0.7080303012951751,0.6295,0.721,0.7509040320959011,0.6901551461643077,0.8265,0.7609999999999999,0.3633733897174939,0.5022940532048652,0.354,0.524
YAL024C,0.5630491400157531,0.6422013770287607,0.593,0.63,0.29057929371081664,0.4362379270015129,0.27,0.404,0.6863723896459007,0.6790100003236925,0.7290000000000001,0.7180000000000001,0.7682578821704599,0.7416825438200353,0.889,0.815,0.4617451470791289,0.5264491725847533,0.479,0.5305,0.4226984646106868,0.5180620007998905,0.445,0.519
YAL023C,0.7139510092754474,0.7224793079072016,0.847,0.768,0.4805004989093342,0.5626878512780573,0.471,0.532,0.37863519210979535,0.5531962080482405,0.3585,0.5515000000000001,0.5834129963504185,0.6692930267802623,0.6525,0.6705,0.2220221587073286,0.40270399964278375,0.1975,0.39,0.3809049292466623,0.5275441083383032,0.387,0.508
YAL022C,0.6494891391592988,0.7006339506870923,0.72,0.742,0.36014432192532303,0.4993486195408153,0.343,0.469,0.6343525279396199,0.7686525695054537,0.696,1.0,0.679693877400216,0.6988672197435281,0.7725,0.733,0.2416862631250675,0.41979589267096346,0.2135,0.405,0.467099104145826,0.545470168533821,0.464,0.5385
YAL021C,0.6953912335555952,0.7110051603531351,0.778,0.741,0.4058848490362485,0.5212197561481938,0.414,0.5,0.5987117620492198,0.6842310173685527,0.631,0.7080000000000001,0.8087844999468135,0.7475758593246355,0.889,0.8190000000000001,0.30170622967656885,0.4528765554535635,0.3085,0.45799999999999996,0.4936327712784421,0.5606516163889739,0.527,0.5355000000000001
YAL020C,0.5765668693294685,0.645577858369795,0.609,0.655,0.3697532194007176,0.485229718330519,0.37,0.456,0.6236982391248603,0.657216085735957,0.6495,0.6625000000000001,0.7016961924475761,0.7184084630880632,0.8245,0.7695000000000001,0.4149142451897793,0.5042838841003594,0.4205,0.4665,0.4158744936170392,0.5392455650649114,0.4285,0.537
YAL019W,0.6736154088691018,0.7027133970381136,0.741,0.731,0.4171227668214652,0.5324459144956624,0.406,0.51,0.6331671147312686,0.6492429146195615,0.6970000000000001,0.6890000000000001,0.7032763136501259,0.7301947160202338,0.769,0.7755000000000001,0.3974454002558805,0.4955539354106696,0.3735,0.4835,0.3582168226905158,0.5487626866458423,0.353,0.5285
YAL018C,0.5508635925645547,0.639200429218998,0.578,0.635,0.3258735648036179,0.4738474048940971,0.309,0.44,0.4662911564537943,0.5933741485550666,0.423,0.5705,0.5185817011520503,0.6355090844877792,0.484,0.667,0.20797737698575336,0.3761681104173701,0.207,0.364,0.2906822570826004,0.4679546943227548,0.27699999999999997,0.4345
YAL017W,0.6172091852201388,0.6689669047516272,0.684,0.6759999999999999,0.4073891910517312,0.5131375612394017,0.413,0.489,0.6074667308028714,0.6504417295697658,0.649,0.68,0.7230349673553931,0.7246834425247125,0.7825,0.8115000000000001,0.4005412965771197,0.4899283276116563,0.484,0.469,0.5526988045400781,0.6196903741826381,0.6485,0.623
YAL016W,0.7994958828815004,0.755648595027923,0.862,0.8490000000000001,0.6157706359933752,0.6244157973325044,0.7020000000000001,0.66,0.5080658201564442,0.6413919410854715,0.4605,0.625,0.6852548915012662,0.7097309382028928,0.7010000000000001,0.7545,0.3528715345797937,0.5128680642233214,0.2925,0.4785,0.4896859847247954,0.5610294898968547,0.5195000000000001,0.5705
YAL015C,0.6092429011447207,0.6733271180140761,0.667,0.675,0.3809050040813752,0.5090880446773338,0.384,0.478,0.5129598788054246,0.6246433892489398,0.5475,0.6355,0.3700903978365298,0.5835354041047732,0.362,0.5615,0.2431320684573033,0.4084615974198212,0.235,0.386,0.18212123616624992,0.4183501162317067,0.1805,0.413
YAL014C,0.5861808987351921,0.6607536358715903,0.63,0.669,0.42333387361003294,0.5321407074914405,0.444,0.519,0.6680318786388569,0.7088880226264159,0.6575,0.75,0.6948577968787176,0.7056279136336592,0.7325,0.762,0.467725516259477,0.5479262916830787,0.4955,0.5780000000000001,0.4964124748286358,0.5606255354065883,0.503,0.537
YAL013W,0.5934328142224218,0.6776270312191446,0.6559999999999999,0.667,0.3921286635313622,0.5352636756234542,0.382,0.52,0.4772259682273469,0.6265716911449637,0.4585,0.6105,0.7187870541791421,0.7127528457268997,0.8254999999999999,0.75,0.2473785542716601,0.4293048669000902,0.227,0.428,0.4938875762672841,0.5721165540550938,0.5329999999999999,0.5670000000000001
YAL012W,0.7932677183319427,0.7633034802476449,0.914,0.821,0.5444191496355165,0.5913704488483925,0.5435,0.5685,0.770783989299493,0.7410707500422076,0.875,0.779,0.7722963019463445,0.7645401269401617,0.9155,0.8534999999999999,0.5374719821134047,0.5877217257316657,0.5589999999999999,0.5535000000000001,0.538625769876285,0.5923461456834568,0.532,0.5735
YAL011W,0.5040921341306798,0.6157353560729366,0.519,0.593,0.38217803374961945,,0.364,,0.4063382020164782,0.5468719890548032,0.375,0.5435000000000001,0.6899495075478617,0.6994206781211801,0.7545,0.741,0.3112159362142186,0.4749488263007897,0.297,0.4575,0.5367548075721278,0.6152385976889103,0.536,0.6
YAL010C,0.6110794115047165,0.6679275059655615,0.667,0.667,0.3722070628271929,0.4908598043861221,0.371,0.464,0.7066619522679324,0.7198508141496722,0.7364999999999999,0.774,0.5446027813937123,0.6376218110021393,0.505,0.637,0.5333203684469976,0.5930288174772105,0.5715000000000001,0.594,0.3492397975094859,0.4590672328575567,0.333,0.4585
YAL009W,0.7329825970974333,0.7254621275590689,0.804,0.765,0.5176564726553845,0.5903366358325898,0.5660000000000001,0.585,0.6429284321675425,0.6782830066389142,0.728,0.688,0.8498102616414402,0.7727516986509226,0.96,0.8270000000000001,0.34434190245830665,0.4878705393024003,0.3085,0.465,0.6604813206400971,0.6644836690303244,0.745,0.7195
YAL008W,0.8602502329984083,0.8673058794071652,1.0,1.0,0.8602502329984083,0.8673058794071652,1.0,1.0,0.7578582832551991,0.8235910172675731,1.0,1.0,0.946057646725596,0.9075191553171608,1.0,1.0,0.7578582832551991,0.8235910172675731,1.0,1.0,0.946057646725596,0.9075191553171608,1.0,1.0
YAL007C,0.6317503769146463,0.6780374770132508,0.677,0.703,0.5069175580555699,0.572301368990319,0.5489999999999999,0.568,0.5024704566435605,0.6293073742640711,0.508,0.6509999999999999,0.7061325689139759,0.6997851495011078,0.7125,0.753,0.3680382448663708,0.4969209398176357,0.3345,0.4875,0.5656853078403092,0.5895055617912843,0.565,0.5825
YAL005C,0.8885974032655941,0.8353420184962111,1.0,0.967,0.7296795754498445,0.7237658665401231,0.847,0.7879999999999999,0.9528751018459932,0.8501801622861309,1.0,1.0,0.7889257131416219,0.8034481029317699,0.8390000000000001,0.8405,0.771107407721082,0.7194920282137812,0.94,0.7645,0.6092938699718389,0.6668967903407563,0.6074999999999999,0.682
YAL003W,0.8684624023029652,0.8615045856510175,0.933,0.933,0.6072995665259929,0.6618416577369637,0.64,0.6829999999999999,0.8160196730076954,0.8524927703537062,0.8975,0.929,0.9039190025795636,0.8839564343545196,0.975,0.9840000000000001,0.4862479038773382,0.5891843617890902,0.5375000000000001,0.581,0.7091551625598259,0.7325994496033753,0.7675000000000001,0.7815
YAL002W,0.5953596036860271,0.6565187762013539,0.6425000000000001,0.672,0.4518398779182814,,0.479,,0.5843661858208979,0.6130719065656292,0.6285000000000001,0.6194999999999999,0.5289500859251856,0.6518763291025819,0.5,0.6575,0.3482527322951405,0.4509017523426018,0.314,0.413,0.3561347497310053,0.49432447189892703,0.354,0.4705
YAL001C,0.3629316950170226,0.5277354060182833,0.35600000000000004,0.508,0.33835460054676103,0.5051214197694092,0.328,0.484,0.4147567221595243,0.541220947674016,0.418,0.508,0.32431771654044433,0.5070065102083136,0.27699999999999997,0.475,0.3892676919965023,0.5191571473427677,0.373,0.488,0.3028767823913617,0.4865583104557797,0.2585,0.444
YAR002W,0.4088353860090001,0.5646883652649525,0.36,0.542,0.3217549310448632,0.4832310984387256,0.28600000000000003,0.455,0.4050951311909126,0.5622140633997295,0.37799999999999995,0.524,0.4197097598245404,0.5634998325089596,0.391,0.53,0.3180127570643151,0.4700060318237467,0.2905,0.4445,0.3179967593556504,0.4781082712255588,0.306,0.444
YAR002C-A,0.6818806895110961,0.7149811971347734,0.7609999999999999,0.763,0.4740150701753851,0.5600418307393117,0.494,0.545,0.6304721333580978,0.6891331341901047,0.6579999999999999,0.741,0.8087036197470214,0.7774589627886328,0.8805000000000001,0.8465,0.4223538880806417,0.5281735469266808,0.402,0.483,0.6219630226046914,0.614911242714856,0.6815,0.629
YAR003W,0.7421595208546234,0.7199303336979956,0.815,0.778,0.4410981700840968,0.5289977031119979,0.465,0.522,0.8252435817167942,0.7375870672916937,0.889,0.792,0.6923253808543975,0.7121200072685616,0.7665,0.7735000000000001,0.5016750772237227,0.5492371846985405,0.514,0.5445,0.3545316056479087,0.4994826895174568,0.35750000000000004,0.4825
YAR007C,0.71452876476715,0.7184742346902785,0.815,0.769,0.484087415331533,0.5628635423507009,0.514,0.546,0.6033126215866581,0.6797828390684916,0.667,0.667,0.7816441812278035,0.7473784843820848,0.852,0.8390000000000001,0.3665212513863311,0.5007905390585508,0.348,0.47700000000000004,0.4769618814925092,0.5492256995353184,0.503,0.5469999999999999
YAR008W,0.5936101397721794,0.6556309155317477,0.6459999999999999,0.667,0.3826502266960784,0.5000244191612458,0.369,0.478,0.7296811298600367,0.6965538021192397,0.7705,0.7250000000000001,0.6920060454091378,0.7069164597262326,0.7995000000000001,0.7749999999999999,0.5482759097053027,0.5754427037397655,0.5640000000000001,0.591,0.4908144114367361,0.5686227747321047,0.495,0.5375000000000001
YAR014C,0.43342453860731467,0.5795728102668316,0.406,0.55,0.3863465002025036,0.5326247965397112,0.353,0.5,0.4950615707992534,0.6198010624733604,0.5,0.611,0.402547474376702,0.5757175676473476,0.3995,0.5735000000000001,0.3947660829844546,0.5156927687326864,0.39,0.5,0.3637540505607485,0.5439893054674559,0.343,0.5225
YAR015W,0.7315753466246999,0.7114672631222861,0.852,0.754,0.5593135855533348,0.6104282886924374,0.604,0.6194999999999999,0.7784875139092737,0.7213387229375318,0.8859999999999999,0.8079999999999999,0.7053216338312306,0.7138097429581164,0.879,0.755,0.5822845489711324,0.6234391466114173,0.6735,0.657,0.5312898756254208,0.6092344157207709,0.5780000000000001,0.6315
YAR018C,0.6786805721933935,0.6889759244687634,0.815,0.7040000000000001,0.5129400666477082,0.5865897936643422,0.5,0.565,0.5832739058045112,0.6420108126460307,0.54,0.625,0.5822738650528331,0.638395821658237,0.5825,0.63,0.4372473073611327,0.5261377181565212,0.385,0.4915000000000001,0.40789076166207594,0.5289026491791026,0.3965,0.526
YAR019C,0.4918057806481877,0.6074510950279527,0.481,0.5870000000000001,0.4250554235364523,0.55049216972886,0.406,0.516,0.5661089009967909,0.6327411059298113,0.6345000000000001,0.636,0.4485917280167572,0.5823587043094217,0.429,0.5965,0.5101338613652578,0.5895569137492996,0.5695000000000001,0.6034999999999999,0.3821131294593697,0.5088175103025601,0.333,0.5
YAR023C,0.32169145764583434,0.5328678358795503,0.292,0.5,0.2974867516572496,0.5012286022437651,0.261,0.48,0.25878368897451964,0.5034156480485141,0.25,0.478,0.3107040540808585,0.5279241071396474,0.293,0.521,0.2359738339942756,0.4618549276005281,0.233,0.455,0.2770294929070347,0.4918582638367231,0.267,0.48
YAR033W,0.413609370242267,0.5803142732360478,0.4,0.5710000000000001,0.3694256871194355,0.5400345728771142,0.333,0.5,0.421374033946652,0.5827626814585581,0.417,0.5710000000000001,0.4639376338635959,0.6141422619716224,0.423,0.6,0.34732974164898306,0.5304936657467414,0.333,0.5,0.42686054702830906,0.584118300340448,0.417,0.556
YAR035W,0.7398150007445312,0.7107246826927861,0.836,0.7659999999999999,0.6257185881138501,0.6302715145648953,0.7070000000000001,0.652,0.6589955801471542,0.6668466625912295,0.7324999999999999,0.7165000000000001,0.6516761830273123,0.6564319656938225,0.708,0.6659999999999999,0.5878866535140556,0.610454389504202,0.6910000000000001,0.65,0.473546425139023,0.5537427643348206,0.525,0.5475
YAR042W,0.5927335576995688,0.6507672693617178,0.648,0.662,0.4105241252573482,0.5081973723179485,0.4320000000000001,0.4920000000000001,0.5276859018193089,0.5953347661852404,0.5495,0.5894999999999999,0.6054476154931111,0.6897392802609797,0.674,0.6915,0.3665738039250184,0.4708761024916719,0.3815,0.4505,0.4571412256103594,0.5607426911985298,0.4380000000000001,0.563
YAR071W,0.6512558252058939,0.6894326845465638,0.6970000000000001,0.706,0.3556006663558956,0.4903616869939701,0.334,0.463,0.542926160994194,0.6247284564534471,0.514,0.595,0.5880124432312492,0.6582130523392535,0.5565,0.6915,0.28495436716858624,0.4205958687339396,0.2595,0.3915,0.29246721468110914,0.4636158321588129,0.258,0.4415
YBL107C,0.593436402256328,0.651289503650338,0.6495,0.667,0.4025922963536001,0.5050985649688098,0.4315,0.475,0.5538591129888105,0.6277785342604996,0.6275,0.6385000000000001,0.5640868366330266,0.6422402099218741,0.635,0.6409999999999999,0.34506175272644235,0.4690833721266212,0.32199999999999995,0.4405,0.3866604586237424,0.5093773597689376,0.433,0.473
YBL106C,0.6361144900461725,0.6716142172182041,0.677,0.6945,0.434900582522515,0.518355774060555,0.4575,0.504,0.5992793428175703,0.6516410153015608,0.6085,0.6665,0.6508435954001922,0.7028741470328104,0.6799999999999999,0.706,0.42545954093125177,0.5133816892490147,0.461,0.524,0.43139233160602336,0.534665827280488,0.4385,0.5415
YBL105C,0.5399074569459716,0.6229249449814012,0.688,0.625,0.5399074569459716,0.6229249449814012,0.688,0.625,0.6609198302475923,0.6475189292391841,0.698,0.688,0.6794979810003707,0.6771273521174767,0.696,0.723,0.6609198302475923,0.6475189292391841,0.698,0.688,0.6794979810003707,0.6771273521174767,0.696,0.723
